registry_id,task_id,queue_id,route,terminal_district,source_family,source_artifact_mode,source_title,source_url_or_cache_artifact,capture_date,contact_statement_status,selected_higher_tier_attachment_status,registry_status,proof_source_artifact,registry_blocker,contract_artifact,next_artifact,validation_status
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS35,T4PROOF-T4CONTACTT3GREATLAKESUS35,T4CONTACT-T3GREATLAKES-US35,US35,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS74,T4PROOF-T4CONTACTT3GREATLAKESUS74,T4CONTACT-T3GREATLAKES-US74,US74,Columbus South,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI196,T4PROOF-T4CONTACTT3GREATLAKESI196,T4CONTACT-T3GREATLAKES-I196,I-196,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI496,T4PROOF-T4CONTACTT3GREATLAKESI496,T4CONTACT-T3GREATLAKES-I496,I-496,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI696,T4PROOF-T4CONTACTT3GREATLAKESI696,T4CONTACT-T3GREATLAKES-I696,I-696,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS10,T4PROOF-T4CONTACTT3GREATLAKESUS10,T4CONTACT-T3GREATLAKES-US10,US10,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS223,T4PROOF-T4CONTACTT3GREATLAKESUS223,T4CONTACT-T3GREATLAKES-US223,US223,Detroit Livernois,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI129,T4PROOF-T4CONTACTT3GREATLAKESI129,T4CONTACT-T3GREATLAKES-I129,I-129,Indianapolis Avon,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI465,T4PROOF-T4CONTACTT3GREATLAKESI465,T4CONTACT-T3GREATLAKES-I465,I-465,Indianapolis Avon,public-terminal-contact-proof,manual-citation,"CSX Indianapolis, IN - Mid-America Freight Coalition; Transportation - Avon, IN",https://midamericafreight.org/index.php/rfs/network-inventory/rail/intermodal-facilities/csx-indianapolis-in/;https://www.avonindiana.gov/533/Transportation,2026-05-15,source-backed,attached,source-backed,https://midamericafreight.org/index.php/rfs/network-inventory/rail/intermodal-facilities/csx-indianapolis-in/,none,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,pass
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS31,T4PROOF-T4CONTACTT3GREATLAKESUS31,T4CONTACT-T3GREATLAKES-US31,US31,Indianapolis Avon,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI235,T4PROOF-T4CONTACTT3GREATLAKESI235,T4CONTACT-T3GREATLAKES-I235,I-235,Minneapolis Twin Cities,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI190,T4PROOF-T4CONTACTT3GREATLAKESI190,T4CONTACT-T3GREATLAKES-I190,I-190,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI390,T4PROOF-T4CONTACTT3GREATLAKESI390,T4CONTACT-T3GREATLAKES-I390,I-390,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI478,T4PROOF-T4CONTACTT3GREATLAKESI478,T4CONTACT-T3GREATLAKES-I478,I-478,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI691,T4PROOF-T4CONTACTT3GREATLAKESI691,T4CONTACT-T3GREATLAKES-I691,I-691,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI990,T4PROOF-T4CONTACTT3GREATLAKESI990,T4CONTACT-T3GREATLAKES-I990,I-990,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS7,T4PROOF-T4CONTACTT3GREATLAKESUS7,T4CONTACT-T3GREATLAKES-US7,US7,New York Fresh Pond,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI276,T4PROOF-T4CONTACTT3GREATLAKESI276,T4CONTACT-T3GREATLAKES-I276,I-276,Philadelphia Frankford,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI93,T4PROOF-T4CONTACTT3GREATLAKESI93,T4CONTACT-T3GREATLAKES-I93,I-93,Philadelphia Frankford,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS15,T4PROOF-T4CONTACTT3GREATLAKESUS15,T4CONTACT-T3GREATLAKES-US15,US15,Philadelphia Frankford,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI180,T4PROOF-T4CONTACTT3GREATLAKESI180,T4CONTACT-T3GREATLAKES-I180,I-180,St. Louis Gateway,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESI72,T4PROOF-T4CONTACTT3GREATLAKESI72,T4CONTACT-T3GREATLAKES-I72,I-72,St. Louis Gateway,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4CONTACTREGISTRY-T4CONTACTT3GREATLAKESUS42,T4PROOF-T4CONTACTT3GREATLAKESUS42,T4CONTACT-T3GREATLAKES-US42,US42,St. Louis Gateway,public-terminal-contact-proof,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,source-needed,manual citation or cached source artifact not registered for route-to-terminal contact proof,data/t4-terminal-contact-proof-artifact-contract.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
