route,score,tier,confidence,score_confidence,confidence_label,score_confidence_label,review,risk_dimensions
I459,38.8,T3,0.70,0.74,Medium,Medium,false,A2:5.3@0.45;A3:3.7@0.55;B4:5.0@0.75
I69,84.7,T1,0.76,0.75,Medium,Medium,true,D1:10.0@0.55;A3:5.3@0.55;A2:4.2@0.45
US49,37.3,T3,0.54,0.75,Low,Medium,false,D1:10.0@0.55;B3:7.1@0.80;C3:5.7@0.80
US96,28.4,T4,0.54,0.75,Low,Medium,false,D1:5.8@0.55;B3:10.0@0.80;B1:6.0@0.80
I820,41.4,T3,0.70,0.75,Medium,Medium,false,A3:10.0@0.55;B4:5.0@0.75;A2:2.2@0.45
I395,71.7,T1,0.75,0.75,Medium,Medium,true,A3:10.0@0.55;D1:10.0@0.55;B3:10.0@0.80
I635,54.9,T2,0.70,0.75,Medium,Medium,false,A3:10.0@0.55;A2:5.4@0.45;B4:5.0@0.75
I595,44.4,T3,0.63,0.75,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B4:5.0@0.75
I95,98.3,T1,0.75,0.75,Medium,Medium,false,D1:10.0@0.55;A3:8.5@0.55;A2:5.6@0.45
I45,70.2,T1,0.75,0.75,Medium,Medium,false,D1:10.0@0.55;A2:5.3@0.45;B3:10.0@0.80
I264,53.4,T2,0.75,0.75,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;A2:2.4@0.45
I205,56.9,T2,0.70,0.75,Medium,Medium,false,A3:10.0@0.55;A2:5.0@0.45;B3:10.0@0.80
US58,41.5,T3,0.54,0.75,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C2:4.5@0.75
I565,39.2,T3,0.72,0.75,Medium,Medium,false,A3:6.0@0.55;A2:2.3@0.45;B4:5.0@0.75
I575,39.4,T3,0.72,0.75,Medium,Medium,false,A3:8.6@0.55;B4:5.0@0.75;A2:2.0@0.45
I640,33.3,T3,0.65,0.75,Medium,Medium,false,A2:4.0@0.45;B4:5.0@0.75;B1:6.2@0.80
I270,64.3,T2,0.72,0.75,Medium,Medium,false,A3:10.0@0.55;A2:5.0@0.45;B3:8.3@0.80
US51,39.2,T3,0.54,0.75,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80
US60,44.9,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C2:5.4@0.75
I285,63.3,T2,0.72,0.76,Medium,Medium,false,A3:10.0@0.55;A2:6.4@0.45;B4:5.0@0.75
US17,35.6,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80
US61,41.8,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C2:4.2@0.75
US290,41.0,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B1:5.2@0.80
US9,35.8,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C1:8.6@0.85
I225,55.8,T2,0.70,0.76,Medium,Medium,false,A3:10.0@0.55;A2:3.6@0.45;B1:9.6@0.80
I20,76.4,T1,0.75,0.76,Medium,Medium,false,D1:10.0@0.55;A2:5.3@0.45;B4:6.5@0.75
I75,87.3,T1,0.76,0.76,Medium,Medium,false,D1:10.0@0.55;A2:5.5@0.45;B3:10.0@0.80
I240,62.3,T2,0.72,0.76,Medium,Medium,false,A3:9.3@0.55;A2:3.9@0.45;B3:10.0@0.80
I64,77.2,T1,0.75,0.76,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;A2:3.0@0.45
I440,37.9,T3,0.72,0.76,Medium,Medium,false,A2:5.5@0.45;B4:5.0@0.75;C3:5.7@0.80
US13,44.2,T3,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C1:7.5@0.85
I985,34.4,T3,0.72,0.76,Medium,Medium,false,A3:6.0@0.55;B4:5.0@0.75
US80,51.4,T2,0.54,0.76,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B1:7.4@0.80
I14,32.3,T3,0.72,0.76,Medium,Medium,false,A3:5.5@0.55;B4:5.0@0.75;B1:5.4@0.80
US59,43.9,T3,0.54,0.77,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80
US75,45.1,T3,0.54,0.77,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C1:8.1@0.85
I405,63.2,T2,0.72,0.77,Medium,Medium,false,A3:10.0@0.55;B3:10.0@0.80;A2:3.4@0.45
I464,45.0,T3,0.75,0.77,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;B4:5.0@0.75
US45E,25.5,T4,0.49,0.77,Low,Medium,false,C2:4.7@0.50;C3:7.1@0.80
I110,65.6,T2,0.75,0.77,Medium,Medium,false,D1:10.0@0.55;B1:10.0@0.80;B3:10.0@0.80
US90,53.8,T2,0.54,0.77,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;D2:7.0@0.80
I244,31.2,T3,0.70,0.77,Medium,Medium,false,A2:2.6@0.45;B1:6.7@0.80;B4:5.0@0.75
I24,61.5,T2,0.72,0.77,Medium,Medium,false,A2:5.9@0.45;B4:7.5@0.75;C2:6.0@0.75
I55,71.0,T1,0.75,0.77,Medium,Medium,false,D1:10.0@0.55;A2:4.0@0.45;B3:10.0@0.80
I475,39.1,T3,0.72,0.77,Medium,Medium,false,A2:5.5@0.45;B3:7.4@0.80;B4:5.0@0.75
I195,67.4,T2,0.75,0.77,Medium,Medium,false,D1:10.0@0.55;B3:10.0@0.80;A3:3.4@0.55
I189,14.7,T4,0.53,0.77,Low,Medium,false,B4:5.0@0.75
I201,5.8,T4,0.39,0.77,Low,Medium,false,B4:5.0@0.75
I540,44.3,T3,0.72,0.77,Medium,Medium,false,A2:3.7@0.45;C3:6.5@0.80;B4:5.0@0.75
I381,21.5,T4,0.65,0.77,Medium,Medium,false,C3:7.2@0.80;B4:5.0@0.75;C2:2.0@0.50
I469,23.1,T4,0.58,0.77,Low,Medium,false,B4:5.0@0.75;B1:5.6@0.80
US70,53.8,T2,0.54,0.77,Low,Medium,false,D1:10.0@0.55;B3:10.0@0.80;C2:4.3@0.75
I35,81.5,T1,0.76,0.77,Medium,Medium,false,A2:5.3@0.45;A4:10.0@0.75;C4:10.0@0.75
US287,68.7,T2,0.55,0.77,Low,Medium,false,D1:5.8@0.55;C4:9.0@0.75;B1:10.0@0.80
I359,30.6,T3,0.72,0.77,Medium,Medium,false,A2:3.0@0.45;B4:5.0@0.75;C3:5.5@0.80
I155,34.7,T3,0.72,0.78,Medium,Medium,false,C3:7.0@0.80;A2:2.3@0.45;B3:6.4@0.80
I40,78.7,T1,0.76,0.78,Medium,Medium,false,A2:5.3@0.45;B3:10.0@0.80;A4:7.5@0.75
I520,30.5,T3,0.70,0.78,Medium,Medium,false,B4:5.0@0.75;B1:5.1@0.80
US69,48.4,T3,0.55,0.78,Low,Medium,false,D1:5.8@0.55;B3:10.0@0.80;C4:5.0@0.75
I81,58.5,T2,0.72,0.78,Medium,Medium,false,A2:5.7@0.45;B4:7.5@0.75;C4:5.5@0.75
I670,34.3,T3,0.70,0.78,Medium,Medium,false,A2:3.4@0.45;B4:5.0@0.75;B3:5.1@0.80
I105,45.7,T3,0.70,0.78,Medium,Medium,false,A3:5.6@0.55;B3:10.0@0.80;B1:6.8@0.80
I530,30.7,T3,0.72,0.78,Medium,Medium,false,A2:2.9@0.45;B4:5.0@0.75;C3:5.6@0.80
I680,60.2,T2,0.70,0.78,Medium,Medium,false,A3:8.4@0.55;B1:10.0@0.80;B3:7.5@0.80
I30,61.3,T2,0.72,0.78,Medium,Medium,false,A2:5.6@0.45;B4:6.0@0.75;B1:7.5@0.80
US2,51.7,T2,0.52,0.78,Low,Medium,false,C4:8.0@0.75;B1:10.0@0.80;B3:10.0@0.80
I10,95.9,T1,0.77,0.78,Medium,Medium,false,A2:5.3@0.45;A4:9.0@0.75;B4:8.0@0.75
I840,28.5,T4,0.72,0.78,Medium,Medium,false,A2:2.9@0.45;B4:5.0@0.75;B1:6.0@0.80
I66,35.5,T3,0.70,0.78,Medium,Medium,false,B3:8.2@0.80;A3:3.0@0.55;A2:2.3@0.45
I5,93.3,T1,0.76,0.78,Medium,Medium,false,A2:5.2@0.45;A4:8.5@0.75;B3:10.0@0.80
I65,64.9,T2,0.72,0.78,Medium,Medium,false,A2:5.0@0.45;B4:8.0@0.75;B3:10.0@0.80
I555,33.1,T3,0.72,0.78,Medium,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C3:5.5@0.80
I115,26.8,T4,0.66,0.78,Medium,Medium,false,C2:6.0@0.75;B1:7.4@0.80;B4:5.0@0.75
US259,17.9,T4,0.49,0.79,Low,Medium,false,B1:7.2@0.80
I172,20.1,T4,0.54,0.79,Low,Medium,false,B4:5.0@0.75;C2:4.9@0.75;C3:5.8@0.80
I85,68.1,T2,0.72,0.79,Medium,Medium,false,A2:4.5@0.45;B4:7.5@0.75;C4:6.5@0.75
I77,58.2,T2,0.72,0.79,Medium,Medium,false,A2:5.1@0.45;B4:6.5@0.75;C4:5.0@0.75
I495,64.3,T2,0.72,0.79,Medium,Medium,false,A3:5.4@0.55;B3:10.0@0.80;A2:3.3@0.45
I15,65.4,T2,0.76,0.79,Medium,Medium,false,B3:8.0@0.80;B4:6.0@0.75;A5:9.2@0.85
US83,51.0,T2,0.52,0.79,Low,Medium,false,C4:8.5@0.75;A4:7.5@0.75;B3:8.0@0.80
I587,17.2,T4,0.51,0.79,Low,Medium,false,B4:5.0@0.75;B3:5.6@0.80
I126,18.9,T4,0.53,0.79,Low,Medium,false,B4:5.0@0.75;C3:5.6@0.80
I269,35.5,T3,0.72,0.79,Medium,Medium,false,B3:10.0@0.80;B4:5.0@0.75;A2:2.2@0.45
I790,18.5,T4,0.60,0.79,Low,Medium,false,B4:5.0@0.75
I49,59.9,T2,0.72,0.79,Medium,Medium,false,C4:7.5@0.75;B4:6.5@0.75;A2:2.8@0.45
I184,20.3,T4,0.60,0.79,Low,Medium,false,B1:10.0@0.80;B4:5.0@0.75
I781,20.5,T4,0.53,0.79,Low,Medium,false,B4:5.0@0.75;C3:5.2@0.80;B1:5.1@0.80
I485,14.5,T4,0.53,0.79,Low,Medium,false,B4:5.0@0.75
I787,16.1,T4,0.58,0.79,Low,Medium,false,B4:5.0@0.75
I894,12.4,T4,0.53,0.79,Low,Medium,false,B4:5.0@0.75
US82,26.8,T4,0.51,0.79,Low,Medium,false,C2:7.4@0.75;C3:6.9@0.80;B1:5.4@0.80
I185,25.9,T4,0.72,0.79,Medium,Medium,false,B4:5.0@0.75
I82,39.8,T3,0.75,0.80,Medium,Medium,false,A2:2.4@0.45;B4:5.0@0.75;B3:5.4@0.80
I759,25.8,T4,0.65,0.80,Medium,Medium,false,C3:6.3@0.80;B4:5.0@0.75
I140,28.7,T4,0.65,0.80,Medium,Medium,false,B4:5.0@0.75;C3:5.1@0.80
I69C,24.2,T4,0.50,0.80,Low,Medium,false,B3:8.0@0.80;C3:7.9@0.80;B4:5.0@0.75
I22,53.5,T2,0.72,0.80,Medium,Medium,false,B3:10.0@0.80;A2:3.3@0.45;B4:5.0@0.75
US53,18.6,T4,0.51,0.80,Low,Medium,false,C2:6.0@0.75;B1:6.2@0.80
US26,28.2,T4,0.63,0.80,Medium,Medium,false,B1:7.7@0.80;C2:5.0@0.75
I165,38.6,T3,0.70,0.80,Medium,Medium,false,B3:10.0@0.80;B1:7.6@0.80;B4:5.0@0.75
I785,15.7,T4,0.53,0.80,Low,Medium,false,B4:5.0@0.75
US280,13.5,T4,0.51,0.80,Low,Medium,false,C3:6.9@0.80
I2,45.7,T3,0.72,0.80,Medium,Medium,false,B1:10.0@0.80;B3:8.0@0.80;C3:7.9@0.80
I80,89.8,T1,0.76,0.80,Medium,Medium,false,A4:9.0@0.75;C4:9.0@0.75;B4:8.5@0.75
I129,28.0,T4,0.72,0.80,Medium,Medium,false,B4:5.0@0.75;C2:4.4@0.75;B1:5.3@0.80
US258,17.5,T4,0.51,0.80,Low,Medium,false,C3:7.1@0.80;B3:5.1@0.80
I794,12.9,T4,0.60,0.80,Low,Medium,false,B4:5.0@0.75
I70,78.9,T1,0.76,0.80,Medium,Medium,false,B3:10.0@0.80;B4:7.5@0.75;C4:7.0@0.75
US283,14.6,T4,0.51,0.80,Low,Medium,false,B1:6.3@0.80;C3:5.9@0.80
US16,24.1,T4,0.51,0.80,Low,Medium,false,B1:10.0@0.80;C2:7.5@0.75
I170,16.1,T4,0.58,0.80,Low,Medium,false,B4:5.0@0.75
I480,45.6,T3,0.72,0.80,Medium,Medium,false,B4:5.0@0.75;A3:2.6@0.55;B3:5.8@0.80
I27,30.8,T3,0.72,0.80,Medium,Medium,false,B1:10.0@0.80;B4:5.0@0.75;C3:5.4@0.80
I295,55.0,T2,0.72,0.80,Medium,Medium,false,A2:3.8@0.45;B3:10.0@0.80;C1:8.9@0.85
US66,27.0,T4,0.51,0.80,Low,Medium,false,C2:10.0@0.75;C3:6.5@0.80;B1:6.0@0.80
I315,22.0,T4,0.61,0.80,Medium,Medium,false,B1:7.4@0.80;B4:5.0@0.75;C3:5.5@0.80
US123,13.7,T4,0.49,0.80,Low,Medium,false,C3:5.1@0.80
I990,26.5,T4,0.53,0.80,Low,Medium,false,B3:8.0@0.80;B4:5.0@0.75;B1:5.5@0.80
I84,82.6,T1,0.76,0.80,Medium,Medium,false,B3:10.0@0.80;C4:7.5@0.75;B1:9.0@0.80
I3,8.2,T4,0.42,0.80,Low,Medium,false,B4:5.0@0.75
I69E,26.6,T4,0.51,0.80,Low,Medium,false,B3:10.0@0.80;C3:7.1@0.80;B4:5.0@0.75
I16,48.7,T3,0.72,0.80,Medium,Medium,false,B3:10.0@0.80;A2:2.7@0.45;B4:5.0@0.75
I865,20.1,T4,0.58,0.80,Low,Medium,false,B4:5.0@0.75
I169,25.2,T4,0.65,0.80,Medium,Medium,false,B3:7.9@0.80;C3:7.8@0.80;B4:5.0@0.75
US219,21.5,T4,0.49,0.80,Low,Medium,false,B3:8.4@0.80;C3:5.1@0.80
I435,32.8,T3,0.72,0.80,Medium,Medium,false,A2:2.8@0.45;B4:5.0@0.75
US54,30.3,T3,0.51,0.80,Low,Medium,false,B3:8.0@0.80;C2:6.4@0.75;B1:6.6@0.80
I471,28.7,T4,0.58,0.80,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I37,50.6,T2,0.72,0.80,Medium,Medium,false,B3:10.0@0.80;A2:2.8@0.45;B4:5.0@0.75
I44,58.4,T2,0.72,0.80,Medium,Medium,false,B4:7.0@0.75;A2:2.8@0.45;C4:5.0@0.75
I25,66.3,T2,0.76,0.80,Medium,Medium,false,B4:8.5@0.75;B3:8.2@0.80;A4:6.0@0.75
US412,43.9,T3,0.52,0.80,Low,Medium,false,C4:7.0@0.75;C2:5.9@0.75;B3:6.4@0.80
I579,24.1,T4,0.53,0.80,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I585,17.6,T4,0.54,0.80,Low,Medium,false,B4:5.0@0.75
I690,19.6,T4,0.53,0.80,Low,Medium,false,B4:5.0@0.75
I11,14.9,T4,0.70,0.80,Medium,Medium,false,B4:5.0@0.75
I194,31.2,T3,0.54,0.80,Low,Medium,false,B4:5.0@0.75;B1:5.6@0.80;C2:4.3@0.75
I705,28.4,T4,0.53,0.80,Low,Medium,false,B3:10.0@0.80;B1:7.0@0.80;B4:5.0@0.75
I135,29.8,T4,0.72,0.80,Medium,Medium,false,B4:5.0@0.75;A2:2.1@0.45
I535,33.7,T3,0.54,0.80,Low,Medium,false,B1:7.7@0.80;C2:6.0@0.75;D3:8.7@0.85
I283,20.6,T4,0.53,0.80,Low,Medium,false,B3:6.7@0.80;B4:5.0@0.75
I175,28.5,T4,0.58,0.80,Low,Medium,false,B1:6.5@0.80;B4:5.0@0.75
I805,23.7,T4,0.58,0.80,Low,Medium,false,B3:8.0@0.80;B4:5.0@0.75;B1:5.1@0.80
I480N,20.3,T4,0.53,0.80,Low,Medium,false,B4:5.0@0.75
I235,28.2,T4,0.72,0.80,Medium,Medium,false,B4:5.0@0.75
I35W,11.4,T4,0.60,0.80,Low,Medium,false,B4:5.0@0.75
I8,45.3,T3,0.74,0.80,Medium,Medium,false,B3:8.0@0.80;B1:7.2@0.80;B4:5.0@0.75
I385,20.7,T4,0.60,0.80,Low,Medium,false,B4:5.0@0.75;C3:5.3@0.80
US95,29.0,T4,0.51,0.80,Low,Medium,false,C2:7.7@0.75;B1:8.5@0.80
I59,62.2,T2,0.72,0.80,Medium,Medium,false,A2:3.8@0.45;B3:8.4@0.80;A5:10.0@0.85
I393,13.9,T4,0.54,0.80,Low,Medium,false,B4:5.0@0.75
I590,21.1,T4,0.58,0.80,Low,Medium,false,B3:6.7@0.80;B4:5.0@0.75
I90,84.6,T1,0.76,0.81,Medium,Medium,false,B4:9.0@0.75;C4:8.5@0.75;B3:10.0@0.80
I895A,21.5,T4,0.53,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I12,32.1,T3,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C3:5.1@0.80
I17,38.5,T3,0.70,0.81,Medium,Medium,false,B1:10.0@0.80;B4:5.0@0.75;A2:1.9@0.45
US34,19.6,T4,0.51,0.81,Low,Medium,false,C2:5.1@0.75;B1:6.0@0.80
I696,27.3,T4,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US93,18.7,T4,0.51,0.81,Low,Medium,false,B1:7.9@0.80
I335,27.9,T4,0.70,0.81,Medium,Medium,false,B4:5.0@0.75;B1:6.0@0.80
I265,22.9,T4,0.60,0.81,Low,Medium,false,B4:5.0@0.75;B3:5.7@0.80
US30,54.5,T2,0.63,0.81,Medium,Medium,false,B3:10.0@0.80;C4:7.5@0.75;B1:7.2@0.80
I29,52.5,T2,0.60,0.81,Medium,Medium,false,C4:9.5@0.75;A4:5.5@0.75;B4:5.0@0.75
I516,34.2,T3,0.65,0.81,Medium,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I526,24.9,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75;B1:6.0@0.80;B3:6.0@0.80
I180,29.7,T4,0.72,0.81,Medium,Medium,false,B4:5.0@0.75;C2:4.7@0.75
I68,31.6,T3,0.60,0.81,Low,Medium,false,B3:7.0@0.80;B4:5.0@0.75;B1:5.2@0.80
I384,23.3,T4,0.58,0.81,Low,Medium,false,B4:5.0@0.75
US63,35.4,T3,0.51,0.81,Low,Medium,false,B3:10.0@0.80;C2:6.0@0.75;B1:6.5@0.80
I97,22.4,T4,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I94,76.6,T1,0.72,0.81,Medium,Medium,false,C4:8.0@0.75;B3:10.0@0.80;A4:7.5@0.75
US400,8.4,T4,0.51,0.81,Low,Medium,false,
I279,25.4,T4,0.54,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I238,15.9,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75
I229,16.9,T4,0.54,0.81,Low,Medium,false,B4:5.0@0.75
I795,27.5,T4,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
I510,29.1,T4,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C3:5.2@0.80
I190,27.9,T4,0.60,0.81,Low,Medium,false,B3:8.0@0.80;B4:5.0@0.75
I391,18.6,T4,0.58,0.81,Low,Medium,false,B4:5.0@0.75
I72,29.3,T4,0.60,0.81,Low,Medium,false,B4:5.0@0.75;C2:4.5@0.75
I291,23.1,T4,0.58,0.81,Low,Medium,false,B4:5.0@0.75
US77,38.4,T3,0.52,0.81,Low,Medium,false,B3:10.0@0.80;C4:6.0@0.75;A4:5.0@0.75
I581,41.1,T3,0.66,0.81,Medium,Medium,false,B4:5.0@0.75;A2:2.1@0.45;C3:5.4@0.80
US6,54.0,T2,0.52,0.81,Low,Medium,false,B3:7.7@0.80;C4:6.0@0.75;C1:10.0@0.85
US181,22.0,T4,0.51,0.81,Low,Medium,false,B3:10.0@0.80;C3:5.5@0.80
I474,24.1,T4,0.54,0.81,Low,Medium,false,B4:5.0@0.75
US183,14.7,T4,0.51,0.81,Low,Medium,false,
I1,10.3,T4,0.42,0.81,Low,Medium,false,B4:5.0@0.75
US167,28.9,T4,0.51,0.81,Low,Medium,false,B3:7.3@0.80;C3:6.2@0.80;B1:5.5@0.80
I99,31.6,T3,0.54,0.81,Low,Medium,false,B4:5.0@0.75;B3:5.9@0.80;B1:5.1@0.80
I780,17.5,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75
I496,25.1,T4,0.58,0.81,Low,Medium,false,B4:5.0@0.75;B3:6.1@0.80
I390,25.8,T4,0.58,0.81,Low,Medium,false,B3:7.0@0.80;B4:5.0@0.75
US395,23.1,T4,0.63,0.81,Medium,Medium,false,B1:8.1@0.80
US250,28.3,T4,0.51,0.81,Low,Medium,false,B3:7.7@0.80;C2:4.3@0.75
I86,34.5,T3,0.60,0.81,Low,Medium,false,B3:7.7@0.80;B4:5.0@0.75;C2:4.1@0.75
I885,21.0,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75
I275,52.8,T2,0.72,0.81,Medium,Medium,false,B3:10.0@0.80;B4:5.0@0.75;A3:2.7@0.55
US431,15.2,T4,0.51,0.81,Low,Medium,false,
US401,10.1,T4,0.49,0.81,Low,Medium,false,C3:5.5@0.80
US37,13.1,T4,0.49,0.81,Low,Medium,false,B3:5.3@0.80
I73,20.0,T4,0.60,0.81,Low,Medium,false,B4:5.0@0.75
US277,22.0,T4,0.51,0.81,Low,Medium,false,C2:4.8@0.75;B1:5.8@0.80;C3:5.5@0.80
US24,28.5,T4,0.51,0.81,Low,Medium,false,B3:6.3@0.80;C2:4.8@0.75
I280,46.1,T3,0.60,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;B1:6.1@0.80
US276,12.3,T4,0.51,0.81,Low,Medium,false,C3:5.3@0.80
I76,54.5,T2,0.72,0.81,Medium,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:7.9@0.85
I277,25.8,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75;B3:5.6@0.80
US20,30.3,T3,0.51,0.81,Low,Medium,false,B3:6.7@0.80;C2:4.2@0.75;B1:5.3@0.80
US25,34.0,T3,0.66,0.81,Medium,Medium,false,C2:5.3@0.75;D3:8.7@0.85;B3:6.5@0.80
I895B,24.9,T4,0.53,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US441,10.3,T4,0.51,0.81,Low,Medium,false,
US91,17.7,T4,0.51,0.81,Low,Medium,false,B1:7.2@0.80
US160,41.5,T3,0.51,0.81,Low,Medium,false,C2:8.3@0.75;B1:10.0@0.80;C3:7.1@0.80
I370,22.1,T4,0.53,0.81,Low,Medium,false,B3:8.4@0.80;B4:5.0@0.75
I176,27.9,T4,0.53,0.81,Low,Medium,false,B3:7.9@0.80;B4:5.0@0.75
I710,33.0,T3,0.58,0.81,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:7.0@0.85
US421,28.8,T4,0.51,0.81,Low,Medium,false,B3:7.2@0.80;C2:4.5@0.75
US281,25.8,T4,0.51,0.81,Low,Medium,false,B3:8.0@0.80;C3:5.2@0.80
I890,22.1,T4,0.53,0.81,Low,Medium,false,B4:5.0@0.75
US378,18.3,T4,0.51,0.81,Low,Medium,false,C3:6.7@0.80
US150,23.7,T4,0.51,0.81,Low,Medium,false,C2:5.2@0.75;B3:5.5@0.80
I481,20.9,T4,0.53,0.82,Low,Medium,false,B4:5.0@0.75
I880,29.6,T4,0.58,0.82,Low,Medium,false,B1:10.0@0.80;B4:5.0@0.75
I290,39.6,T3,0.60,0.82,Low,Medium,false,B3:8.0@0.80;B4:5.0@0.75;C1:8.3@0.85
US322,32.5,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80
I196,26.6,T4,0.60,0.82,Low,Medium,false,B4:5.0@0.75;B1:5.2@0.80
I26,40.2,T3,0.72,0.82,Medium,Medium,false,B4:5.0@0.75;C3:5.8@0.80;B3:5.7@0.80
US76,27.8,T4,0.51,0.82,Low,Medium,false,C2:4.7@0.75;C3:5.6@0.80;B1:5.5@0.80
US72,16.6,T4,0.51,0.82,Low,Medium,false,
US98,37.6,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C3:6.0@0.80;B1:5.6@0.80
I182,23.3,T4,0.60,0.82,Low,Medium,false,B4:5.0@0.75;B1:5.4@0.80
US64,37.0,T3,0.51,0.82,Low,Medium,false,B3:10.0@0.80;C2:5.4@0.75;C3:5.6@0.80
I276,28.3,T4,0.53,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75
US45W,26.6,T4,0.51,0.82,Low,Medium,false,C3:7.2@0.80;C2:4.8@0.75
I181,25.0,T4,0.51,0.82,Low,Medium,false,C3:6.8@0.80;B4:5.0@0.75
US84,28.4,T4,0.51,0.82,Low,Medium,false,C2:6.3@0.75;C3:6.3@0.80;B3:5.2@0.80
I470,42.0,T3,0.70,0.82,Medium,Medium,false,B3:7.8@0.80;B4:5.0@0.75
I605,33.5,T3,0.58,0.82,Low,Medium,false,B3:10.0@0.80;B4:5.0@0.75;C1:7.0@0.85
US45,16.6,T4,0.51,0.82,Low,Medium,false,B3:5.7@0.80
I580,31.2,T3,0.72,0.82,Medium,Medium,false,B4:5.0@0.75
US218,15.7,T4,0.51,0.82,Low,Medium,false,C2:4.7@0.75
I210,38.0,T3,0.58,0.82,Low,Medium,false,B3:7.9@0.80;B1:7.6@0.80;B4:5.0@0.75
