route,tier,score,constraint_adjusted_score,rank,selected,selected_stop_count,top_city_stop_count,sla_pair_count,budget_cost,hard_blocker_count,claim_blocker_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,constraint_ledger_artifact,decision,reason,selected_stops,top_city_stops,sla_pairs
I84,T1,82.6,82.6,12,true,3,0,0,3,0,0,0.00,0.00,0.00,none,,select,score-exception-keep,STOP-PORTLAND;STOP-SLC;STOP-BOISE,,
I64,T1,77.2,77.2,13,false,6,3,0,6,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-route-budget,route-budget-exhausted,STOP-HAMPTON-ROADS;STOP-LOUISVILLE;STOP-STL;STOP-RIC;STOP-CHARLESTON-WV;STOP-LEXINGTON,STOP-HAMPTON-ROADS;STOP-LOUISVILLE;STOP-STL,
I94,T1,76.6,76.6,14,false,6,3,0,6,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-route-budget,route-budget-exhausted,STOP-DETROIT;STOP-CHI-GARY;STOP-BILLINGS;STOP-MSP;STOP-FARGO;STOP-MILWAUKEE,STOP-DETROIT;STOP-CHI-GARY;STOP-BILLINGS,
I395,T1,71.7,71.7,15,false,2,0,0,2,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-route-budget,route-budget-exhausted,STOP-CAPITAL-BELTWAY;STOP-TYSONS-ALEXANDRIA,,
I55,T1,71.0,71.0,16,false,4,2,0,4,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-route-budget,route-budget-exhausted,STOP-MEM;STOP-STL;STOP-NOLA-BR;STOP-JACKSON-MS,STOP-MEM;STOP-STL,
I45,T1,70.2,70.2,17,false,3,2,0,3,0,0,0.00,0.00,0.00,route_budget,data/optimizer-constraint-ledger.csv,reject-route-budget,route-budget-exhausted,STOP-HOU;STOP-DFW;STOP-WACO,STOP-HOU;STOP-DFW,
I610,T2,69.4,69.4,18,false,1,1,0,1,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-HOU,STOP-HOU,
US287,T2,68.7,68.7,19,false,3,1,0,3,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-DEN;STOP-CHEYENNE;STOP-AMARILLO,STOP-DEN,
I85,T2,68.1,68.1,20,false,5,1,0,5,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-ATL;STOP-CLT;STOP-RALEIGH;STOP-RIC;STOP-MONTGOMERY,STOP-ATL,
I195,T2,67.4,67.4,21,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I25,T2,66.3,66.3,22,false,3,1,0,3,0,0,0.00,0.00,0.00,beck_label_density_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-DEN;STOP-ABQ;STOP-CHEYENNE,STOP-DEN,
I15,T2,65.4,65.4,23,false,4,2,0,4,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-LA-LB;STOP-BARSTOW;STOP-SLC;STOP-LASVEGAS,STOP-LA-LB;STOP-BARSTOW,
I65,T2,64.9,64.9,24,false,6,1,0,6,0,0,0.00,0.00,0.00,beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-LOUISVILLE;STOP-BIRMINGHAM;STOP-INDY;STOP-NASHVILLE;STOP-MOBILE;STOP-MONTGOMERY,STOP-LOUISVILLE,
I270,T2,64.3,64.3,25,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I495,T2,64.3,64.3,26,false,2,0,0,2,0,0,0.00,0.00,0.00,beck_label_density_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-CAPITAL-BELTWAY;STOP-TYSONS-ALEXANDRIA,,
I285,T2,63.3,63.3,27,false,1,1,0,1,0,0,0.00,0.00,0.00,beck_label_density_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-ATL,STOP-ATL,
I405,T2,63.2,63.2,28,false,1,1,0,1,0,0,0.00,0.00,0.00,beck_label_density_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-LA-LB,STOP-LA-LB,
I240,T2,62.3,62.3,29,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I59,T2,62.2,62.2,30,false,2,0,0,2,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-BIRMINGHAM;STOP-CHATTANOOGA,,
I24,T2,61.5,61.5,31,false,3,0,0,3,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-NASHVILLE;STOP-CHATTANOOGA;STOP-PADUCAH,,
I30,T2,61.3,61.3,32,false,2,1,0,2,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-DFW;STOP-LITTLE-ROCK,STOP-DFW,
I680,T2,60.2,60.2,33,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I49,T2,59.9,59.9,34,false,3,1,0,3,0,0,0.00,0.00,0.00,beck_label_density_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-KC;STOP-JOPLIN;STOP-SHREVEPORT,STOP-KC,
I81,T2,58.5,58.5,35,false,4,0,0,4,0,0,0.00,0.00,0.00,beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-HARRISBURG;STOP-ROANOKE;STOP-WYTHEVILLE;STOP-HAGERSTOWN,,
I44,T2,58.4,58.4,36,false,4,1,0,4,0,0,0.00,0.00,0.00,beck_long_connector_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-STL;STOP-OKC;STOP-JOPLIN;STOP-TULSA,STOP-STL,
I77,T2,58.2,58.2,37,false,4,0,0,4,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-CLT;STOP-CHARLESTON-WV;STOP-WYTHEVILLE;STOP-COLUMBIA-SC,,
I205,T2,56.9,56.9,38,false,1,0,0,1,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-PORTLAND,,
I225,T2,55.8,55.8,39,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I295,T2,55.0,55.0,40,false,1,0,0,1,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-JAX,,
I635,T2,54.9,54.9,41,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I664,T2,54.8,54.8,42,false,1,1,0,1,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-HAMPTON-ROADS,STOP-HAMPTON-ROADS,
I76,T2,54.5,54.5,43,false,3,1,0,3,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-BAL-PHL;STOP-HARRISBURG;STOP-PITTSBURGH,STOP-BAL-PHL,
US70,T2,53.8,53.8,44,false,2,0,0,2,0,0,0.00,0.00,0.00,beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-LITTLE-ROCK;STOP-TULSA,,
US90,T2,53.8,53.8,45,false,2,1,0,2,0,0,0.00,0.00,0.00,beck_long_connector_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-GULFPORT;STOP-LAFAYETTE,STOP-GULFPORT,
I22,T2,53.5,53.5,46,false,2,1,0,2,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-MEM;STOP-BIRMINGHAM,STOP-MEM,
I264,T2,53.4,53.4,47,false,0,0,0,0,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
I275,T2,52.8,52.8,48,false,1,0,0,1,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-TAMPA,,
I29,T2,52.5,52.5,49,false,3,1,0,3,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-KC;STOP-OMAHA;STOP-FARGO,STOP-KC,
US80,T2,51.4,51.4,50,false,3,0,0,3,0,0,0.00,0.00,0.00,beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-LITTLE-ROCK;STOP-ABILENE;STOP-MONTGOMERY,,
US2,T2,51.7,51.3,51,false,0,0,0,0,0,0,0.40,0.00,0.40,asset_condition_debt;game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,,,
US83,T2,51.0,51.0,52,false,2,0,0,2,0,0,0.00,0.00,0.00,beck_long_connector_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-RAPID-CITY;STOP-ABILENE,,
I37,T2,50.6,50.6,53,false,2,1,0,2,0,0,0.00,0.00,0.00,game_ops_bundle_binding_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-SAT;STOP-CORPUS,STOP-SAT,
I57,T3,49.6,49.6,54,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I19,T3,49.3,49.3,55,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I16,T3,48.7,48.7,56,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-SAV,,
US30,T2,54.5,48.6,57,false,4,0,0,4,0,0,5.85,0.00,5.85,asset_condition_debt;beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-PORTLAND;STOP-OMAHA;STOP-SOUTH-BEND;STOP-CHEYENNE,,
US69,T3,48.4,48.4,58,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US6,T2,54.0,48.0,59,false,3,0,0,3,0,0,5.95,0.00,5.95,asset_condition_debt;beck_transfer_complexity_relief,data/optimizer-constraint-ledger.csv,reject-tier,not-t1-score-band,STOP-OMAHA;STOP-SOUTH-BEND;STOP-LASVEGAS,,
I71,T3,47.4,47.4,60,false,3,1,0,3,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-LOUISVILLE;STOP-CINCINNATI;STOP-COLUMBUS,STOP-LOUISVILLE,
I74,T3,47.2,47.2,61,false,2,0,0,2,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-CINCINNATI;STOP-INDY,,
I630,T3,46.7,46.7,62,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I280,T3,46.1,46.1,63,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I105,T3,45.7,45.7,64,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I2,T3,45.7,45.7,65,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I480,T3,45.6,45.6,66,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I675,T3,45.5,45.5,67,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I8,T3,45.3,45.3,68,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I96,T3,45.2,45.2,69,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US40,T3,45.1,45.1,70,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US75,T3,45.1,45.1,71,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-TULSA,,
I215,T3,45.0,45.0,72,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I464,T3,45.0,45.0,73,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US60,T3,44.9,44.9,74,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I595,T3,44.4,44.4,75,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I540,T3,44.3,44.3,76,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US13,T3,44.2,44.2,77,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US412,T3,43.9,43.9,78,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US59,T3,43.9,43.9,79,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US62,T3,43.9,43.9,80,false,1,1,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-ELP-JRZ,STOP-ELP-JRZ,
US50,T3,43.5,43.5,81,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I78,T3,43.3,43.3,82,false,1,1,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-NY-NJ,STOP-NY-NJ,
I4,T3,43.1,43.1,83,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-TAMPA,,
I375,T3,43.0,43.0,84,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US52,T3,42.6,42.6,85,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I79,T3,42.2,42.2,86,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-PITTSBURGH,,
I430,T3,42.0,42.0,87,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I470,T3,42.0,42.0,88,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US61,T3,41.8,41.8,89,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US160,T3,41.5,41.5,90,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US36,T3,41.5,41.5,91,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US58,T3,41.5,41.5,92,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I820,T3,41.4,41.4,93,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US1,T3,41.4,41.4,94,false,1,1,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-MIA,STOP-MIA,
I581,T3,41.1,41.1,95,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I287,T3,41.0,41.0,96,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US290,T3,41.0,41.0,97,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US85,T3,40.8,40.8,98,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I515,T3,40.6,40.6,99,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I26,T3,40.2,40.2,100,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-COLUMBIA-SC,,
US12,T3,40.0,40.0,101,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I82,T3,39.8,39.8,102,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I290,T3,39.6,39.6,103,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I410,T3,39.4,39.4,104,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I575,T3,39.4,39.4,105,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I565,T3,39.2,39.2,106,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US51,T3,39.2,39.2,107,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I475,T3,39.1,39.1,108,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I459,T3,38.8,38.8,109,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I165,T3,38.6,38.6,110,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I17,T3,38.5,38.5,111,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-PHX,,
US77,T3,38.4,38.4,112,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-CORPUS,,
US19,T3,38.3,38.3,113,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I210,T3,38.0,38.0,114,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I440,T3,37.9,37.9,115,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US78,T3,37.9,37.9,116,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US67,T3,37.7,37.7,117,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US98,T3,37.6,37.6,118,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I684,T3,37.4,37.4,119,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US49,T3,37.3,37.3,120,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I88,T3,37.0,37.0,121,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US64,T3,37.0,37.0,122,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I310,T3,36.9,36.9,123,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US180,T3,36.8,36.8,124,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I87,T3,36.7,36.7,125,false,1,1,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-NY-NJ,STOP-NY-NJ,
US11,T3,36.7,36.7,126,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US460,T3,36.4,36.4,127,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US9,T3,35.8,35.8,128,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US17,T3,35.6,35.6,129,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I269,T3,35.5,35.5,130,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I66,T3,35.5,35.5,131,false,1,0,0,1,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,STOP-TYSONS-ALEXANDRIA,,
US63,T3,35.4,35.4,132,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US71,T3,35.2,35.2,133,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I155,T3,34.7,34.7,134,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I86,T3,34.5,34.5,135,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I676,T3,34.4,34.4,136,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I985,T3,34.4,34.4,137,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I670,T3,34.3,34.3,138,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I91,T3,34.3,34.3,139,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I516,T3,34.2,34.2,140,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I564,T3,34.2,34.2,141,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US25,T3,34.0,34.0,142,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I535,T3,33.7,33.7,143,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I278,T3,33.6,33.6,144,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I605,T3,33.5,33.5,145,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
US29,T3,33.4,33.4,146,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
I476,T3,33.3,33.3,147,false,0,0,0,0,0,0,0.00,0.00,0.00,none,,reject-tier,not-t1-score-band,,,
