rank,pair_id,origin_id,dest_id,target_hours,market_class,total_score,market_score,conversion_score,coverage_score,reuse_score,resilience_score,evidence_score,budget_penalty,portfolio_selected,selected_budget,cutline_status,cutline_reason,covered_by_selected_pair,required_routes,required_stops,evidence_basis,validation_status
11,ATL-LA-48,ATL,LA,48.0,southeast-west-air-substitution,80.0,20.0,18.0,16.0,14.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-20;I-10;I-5,ATL;DAL;ELP;PHX;LA,C.3 Southeast-West Coast market note,pass
12,NYC-MIA-36,NYC,MIA,36.0,atlantic-pharma-and-produce,80.0,20.0,18.0,15.0,15.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-95,NYC;PHILADELPHIA;DC;RIC;JAX;MIA,C.3 pharma perishables and Atlantic corridor,pass
13,ATL-SEA-48,ATL,SEA,48.0,southeast-to-pacific-northwest-national-mesh,79.0,19.0,18.0,17.0,13.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-20;I-35;I-80;I-90,ATL;DAL;OKC;KC;OMAHA;BIL;SPK;SEA,C.3 parallel corridor multiplier and national mesh coverage,pass
14,SFO-CHI-36,SAC,CHI,36.0,bay-area-to-midwest-air-substitution,79.0,19.0,18.0,15.0,15.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-80,SAC;RENO;SLC;OMAHA;CHI,C.3 Bay Area to Midwest parallel corridor,pass
15,BOS-SEA-48,BOS,SEA,48.0,northern-biotech-tech-coast-to-coast,78.0,18.0,18.0,16.0,14.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-90,BOS;BUFFALO;CHI;MIN;BIL;SPK;SEA,C.3 northern coast-to-coast parallel corridor,pass
16,JAX-LA-48,JAX,LA,48.0,southeast-florida-gateway-to-west-coast,77.0,18.0,17.0,16.0,14.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-5,JAX;NOLA;HOU;SAT;ELP;PHX;LA,C.3 Southeast-West Coast market and port gateway coverage,pass
17,MIA-CHI-36,MIA,CHI,36.0,florida-perishables-pharma-to-midwest,76.0,18.0,17.0,15.0,14.0,7.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-75;I-80,MIA;TAMPA;ATL;CINCINNATI;TOLEDO;CHI,C.3 perishables pharma plus Midwest distribution,pass
18,DFW-NYC-36,DAL,NYC,36.0,texas-triangle-to-northeast,75.0,18.0,17.0,15.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-35;I-70;I-95,DAL;OKC;KC;STL;COLUMBUS;PENNSYLVANIA;NYC,C.3 electronics ecommerce plus T1 relay spine,pass
19,HOU-NYC-36,HOU,NYC,36.0,gulf-port-energy-to-northeast,74.0,17.0,17.0,15.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10;I-35;I-70;I-95,HOU;SAT;DAL;OKC;KC;STL;COLUMBUS;NYC,C.1 HOU-CHI reliability plus Northeast extension,pass
20,DEN-NYC-36,DEN,NYC,36.0,mountain-interior-to-northeast,73.0,17.0,16.0,15.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-70;I-95,DEN;KC;STL;COLUMBUS;PENNSYLVANIA;NYC,C.3 relay midpoint accountability and national market reach,pass
21,SLC-NYC-48,SLC,NYC,48.0,intermountain-relay-backbone-to-northeast,72.0,16.0,16.0,15.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-80;I-95,SLC;OMAHA;CHI;CLEVELAND;NYC,C.3 relay station design and I-80 backbone accountability,pass
22,KC-LA-36,KC,LA,36.0,central-relay-hub-to-west-coast,71.0,16.0,16.0,14.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-70;I-80;I-5,KC;OMAHA;SLC;RENO;SAC;LA,C.3 relay hub network and central market access,pass
23,MEM-LA-36,MEM,LA,36.0,logistics-superhub-to-west-coast,70.0,16.0,15.0,14.0,14.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-40;I-10;I-5,MEM;OKC;ABQ;PHX;LA,C.3 logistics hub and southern transcontinental service,pass
24,HOU-LA-36,HOU,LA,36.0,gulf-to-west-coast-industrial,69.0,16.0,15.0,14.0,13.0,6.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-10,HOU;SAT;ELP;PHX;LA,C.3 Gulf-West Coast industrial and port lane,pass
25,NYC-ATL-36,NYC,ATL,36.0,northeast-to-southeast-express,68.0,16.0,15.0,14.0,13.0,5.0,6.0,1.0,true,25,selected-portfolio,inside-selected-t1-promise-budget,,I-95;I-20,NYC;DC;RIC;RALEIGH;ATL,C.3 pharma ecommerce and Southeast transfer lane,pass
26,CHI-MIA-36,CHI,MIA,36.0,midwest-to-florida-produce-and-pharma,64.0,15.0,14.0,13.0,13.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,MIA-CHI-36,I-80;I-75,CHI;TOLEDO;CINCINNATI;ATL;TAMPA;MIA,Covered by selected MIA-CHI opposite-direction promise,pass
27,NYC-DEN-36,NYC,DEN,36.0,northeast-to-mountain-interior,63.0,15.0,14.0,13.0,12.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,DEN-NYC-36,I-95;I-70,NYC;PENNSYLVANIA;COLUMBUS;STL;KC;DEN,Covered by selected DEN-NYC reverse-direction promise,pass
28,DAL-LA-36,DAL,LA,36.0,texas-to-southern-california-ecommerce,62.0,15.0,14.0,12.0,12.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,ATL-LA-48,I-20;I-10;I-5,DAL;ELP;PHX;LA,Covered by ATL-LA and HOU-LA southern-west promises,pass
29,ATL-NYC-36,ATL,NYC,36.0,southeast-to-northeast-express,61.0,14.0,14.0,12.0,12.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,NYC-ATL-36,I-20;I-95,ATL;RALEIGH;RIC;DC;NYC,Covered by selected NYC-ATL reverse-direction promise,pass
30,DEN-LA-36,DEN,LA,36.0,mountain-to-west-coast-relay,59.0,14.0,13.0,11.0,12.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,KC-LA-36,I-70;I-80;I-5,DEN;KC;OMAHA;SLC;RENO;SAC;LA,Useful relay but covered by KC-LA and DEN-NYC spine obligations,pass
31,SEA-LA-36,SEA,LA,36.0,pacific-coast-air-substitution,59.0,14.0,13.0,11.0,12.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,NYC-LA-48,I-5,SEA;POR;SAC;LA,Strong market but route is already forced by broader coast-to-coast promises,pass
32,PHX-CHI-36,PHX,CHI,36.0,southwest-to-midwest-ecommerce,58.0,14.0,13.0,11.0,11.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,PHX-NYC-48,I-10;I-40;I-70,PHX;ABQ;OKC;KC;STL;CHI,Covered by PHX-NYC and LA-CHI with similar spine obligations,pass
33,SEA-DFW-48,SEA,DAL,48.0,pacific-northwest-to-texas-triangle,57.0,13.0,13.0,11.0,11.0,5.0,5.0,1.0,false,25,dropped-at-cutline,lacks-stronger-air-substitution-evidence,ATL-SEA-48,I-90;I-80;I-35,SEA;SPK;BIL;OMAHA;KC;DAL,Network value but weaker conversion evidence than selected ATL-SEA and DFW-NYC,pass
34,BOS-MIA-36,BOS,MIA,36.0,atlantic-pharma-and-tourism,56.0,13.0,12.0,11.0,11.0,5.0,5.0,1.0,false,25,dropped-at-cutline,already-covered-by-selected-promise,NYC-MIA-36,I-95,BOS;NYC;DC;RIC;JAX;MIA,Atlantic corridor already covered by NYC-MIA and BOS-LA Northeast obligations,pass
35,MIA-SEA-48,MIA,SEA,48.0,florida-to-pacific-northwest-national-mesh,56.0,13.0,12.0,12.0,11.0,5.0,5.0,2.0,false,25,dropped-at-cutline,stop-budget-impact-too-high,BOS-SEA-48,I-75;I-80;I-90,MIA;ATL;CINCINNATI;CHI;BIL;SPK;SEA,Long mesh promise with high stop budget and lower near-term conversion evidence,pass
36,SLC-SEA-36,SLC,SEA,36.0,intermountain-to-pacific-northwest,53.0,12.0,12.0,10.0,10.0,5.0,5.0,1.0,false,25,dropped-at-cutline,lower-tier-horizon-more-appropriate,NYC-SEA-48,I-80;I-90,SLC;BIL;SPK;SEA,Useful northern connector but better suited to T2 or regional resilience review,pass
