route,source_surface,source_action,current_score,t1_feedback_class,t1_feedback_action,t1_sla_pair_count,t1_sla_pairs,required_evidence,next_artifact,optimizer_effect,validation_status
I77,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I81,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I85,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US2,t2-service-selection,source-needed,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US287,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US30,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US6,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US70,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US80,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US83,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
US90,t2-service-selection,keep-service-column,0.0,no-t1-action,keep-below-t1,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t2-service-selection.csv,score or regional service value alone cannot promote a route to T1,pass
I610,t3-t4-pressure-intake,accept-as-t3-regional-review,69.4,reject-t1-score-only-promotion,reject-score-only-t1-promotion,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t1-sla-pairs.csv,near-threshold score is visible but cannot override the T1 promise portfolio,pass
I25,t3-t4-pressure-intake,accept-as-t3-regional-review,66.3,reject-t1-score-only-promotion,reject-score-only-t1-promotion,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t1-sla-pairs.csv,near-threshold score is visible but cannot override the T1 promise portfolio,pass
I110,t3-t4-pressure-intake,accept-as-t3-regional-review,65.6,reject-t1-score-only-promotion,reject-score-only-t1-promotion,0,,"named T1 SLA pair, T1 stop obligation, or T1 topology repair witness",data/t1-sla-pairs.csv,near-threshold score is visible but cannot override the T1 promise portfolio,pass
I-57,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,49.6,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-19,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,49.3,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-16,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,48.7,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
US69,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,48.4,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-71,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,47.4,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-74,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,47.2,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-630,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,46.7,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-280,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,46.1,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-105,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.7,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-2,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.7,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-480,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.6,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-675,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.5,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-8,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.3,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-96,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.2,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
US40,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.1,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
US75,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.1,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-215,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.0,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
I-464,t2-bubble-up-review,require-t2-contact-witness-before-upgrade,45.0,t2-contact-first,require-t2-contact-before-any-t1-review,0,,T2 contact witness plus source-backed regional service value; T1 also requires named SLA dependency,data/tier-contact-witnesses.csv,holds pressure at T2 because no T1 promise depends on this route,review
