review_id,queue_id,route,zone_id,terminal_district_seed,terminal_district_seed_source,evidence_status_before,review_decision,review_reason,source_action,blocker_claims_before,blocker_claims_after,claim_blocker_delta,next_artifact,validation_status
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI190,T4CONTACT-T3GREATLAKES-I190,I-190,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI196,T4CONTACT-T3GREATLAKES-I196,I-196,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI235,T4CONTACT-T3GREATLAKES-I235,I-235,t3-great-lakes,Minneapolis Twin Cities,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI255,T4CONTACT-T3MIDSOUTH-I255,I-255,t3-mid-south,St. Louis Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI271,T4CONTACT-T3GREATLAKES-I271,I-271,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI276,T4CONTACT-T3GREATLAKES-I276,I-276,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI277,T4CONTACT-T3MIDSOUTH-I277,I-277,t3-mid-south,Louisville KentuckyOne,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI279,T4CONTACT-T3GREATLAKES-I279,I-279,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI294,T4CONTACT-T3GREATLAKES-I294,I-294,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTI335,T4CONTACT-T3MOUNTAINWEST-I335,I-335,t3-mountain-west,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI390,T4CONTACT-T3GREATLAKES-I390,I-390,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI465,T4CONTACT-T3GREATLAKES-I465,I-465,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI471,T4CONTACT-T3GREATLAKES-I471,I-471,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI478,T4CONTACT-T3GREATLAKES-I478,I-478,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI496,T4CONTACT-T3GREATLAKES-I496,I-496,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3TEXASBORDERI510,T4CONTACT-T3TEXASBORDER-I510,I-510,t3-texas-border,New Orleans Gentilly,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI691,T4CONTACT-T3GREATLAKES-I691,I-691,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI696,T4CONTACT-T3GREATLAKES-I696,I-696,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3TEXASBORDERI69E,T4CONTACT-T3TEXASBORDER-I69E,I-69E,t3-texas-border,San Antonio Kirby,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTI705,T4CONTACT-T3MOUNTAINWEST-I705,I-705,t3-mountain-west,Seattle BNSF,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI72,T4CONTACT-T3GREATLAKES-I72,I-72,t3-great-lakes,St. Louis Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI759,T4CONTACT-T3MIDSOUTH-I759,I-759,t3-mid-south,Memphis Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTI795,T4CONTACT-T3SOUTHEAST-I795,I-795,t3-southeast,Charlotte Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHI840,T4CONTACT-T3MIDSOUTH-I840,I-840,t3-mid-south,Memphis Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTI880,T4CONTACT-T3MOUNTAINWEST-I880,I-880,t3-mountain-west,Los Angeles/Long Beach,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI93,T4CONTACT-T3GREATLAKES-I93,I-93,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESI990,T4CONTACT-T3GREATLAKES-I990,I-990,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS10,T4CONTACT-T3GREATLAKES-US10,US10,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS119,T4CONTACT-T3SOUTHEAST-US119,US119,t3-southeast,Charlotte Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTUS14,T4CONTACT-T3MOUNTAINWEST-US14,US14,t3-mountain-west,Salt Lake City,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS15,T4CONTACT-T3GREATLAKES-US15,US15,t3-great-lakes,Philadelphia Frankford,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHUS167,T4CONTACT-T3MIDSOUTH-US167,US167,t3-mid-south,Memphis Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS22,T4CONTACT-T3GREATLAKES-US22,US22,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS223,T4CONTACT-T3GREATLAKES-US223,US223,t3-great-lakes,Detroit Livernois,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS224,T4CONTACT-T3GREATLAKES-US224,US224,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHUS24,T4CONTACT-T3MIDSOUTH-US24,US24,t3-mid-south,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS250,T4CONTACT-T3GREATLAKES-US250,US250,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTUS26,T4CONTACT-T3MOUNTAINWEST-US26,US26,t3-mountain-west,Portland Albina,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHUS270,T4CONTACT-T3MIDSOUTH-US270,US270,t3-mid-south,Memphis Intermodal,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS278,T4CONTACT-T3SOUTHEAST-US278,US278,t3-southeast,Atlanta Hulsey,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3TEXASBORDERUS281,T4CONTACT-T3TEXASBORDER-US281,US281,t3-texas-border,San Antonio Kirby,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS301,T4CONTACT-T3SOUTHEAST-US301,US301,t3-southeast,Savannah Garden City,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS31,T4CONTACT-T3GREATLAKES-US31,US31,t3-great-lakes,Indianapolis Avon,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS35,T4CONTACT-T3GREATLAKES-US35,US35,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS41,T4CONTACT-T3GREATLAKES-US41,US41,t3-great-lakes,Chicago Intermodal Complex,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS42,T4CONTACT-T3GREATLAKES-US42,US42,t3-great-lakes,St. Louis Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHUS421,T4CONTACT-T3MIDSOUTH-US421,US421,t3-mid-south,Louisville KentuckyOne,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS45E,T4CONTACT-T3SOUTHEAST-US45E,US45E,t3-southeast,New Orleans Gentilly,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS45W,T4CONTACT-T3SOUTHEAST-US45W,US45W,t3-southeast,New Orleans Gentilly,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MIDSOUTHUS66,T4CONTACT-T3MIDSOUTH-US66,US66,t3-mid-south,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS7,T4CONTACT-T3GREATLAKES-US7,US7,t3-great-lakes,New York Fresh Pond,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3GREATLAKESUS74,T4CONTACT-T3GREATLAKES-US74,US74,t3-great-lakes,Columbus South,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-02.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTUS76,T4CONTACT-T3MOUNTAINWEST-US76,US76,t3-mountain-west,Kansas City Gateway,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS82,T4CONTACT-T3SOUTHEAST-US82,US82,t3-southeast,New Orleans Gentilly,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3SOUTHEASTUS84,T4CONTACT-T3SOUTHEAST-US84,US84,t3-southeast,Atlanta Hulsey,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
T4ACCESSREVIEW-T4CONTACTT3MOUNTAINWESTUS87,T4CONTACT-T3MOUNTAINWEST-US87,US87,t3-mountain-west,Denver Logistics Hub,data/intermodal_terminals.csv,source-needed,held-source-needed,terminal district seed assignment is not contact proof; non-seed source artifact still required,route-to-terminal-access-proof-acquisition,map;publication;upgrade,map;publication;upgrade,0,waves/2026-05-13-t4-terminal-contact-evidence/plans/pulse-03.md,review
