state,sample_rows,t1_count,t2_count,t3_count,t4_count,r_overlay_count,m_count,x_count,heuristic_held_count,source_needed_count,metric_refs,primary_vectors,fit_decision,next_action,blocked_claims
iowa,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
kansas,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
kentucky,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
louisiana,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
maine,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
maryland,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
massachusetts,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
michigan,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
minnesota,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
mississippi,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
missouri,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
montana,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
nebraska,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
nevada,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
new-jersey,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
new-mexico,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
new-york,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
north-carolina,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
north-dakota,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
ohio,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
oklahoma,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
oregon,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
pennsylvania,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
south-carolina,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
tennessee,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
texas,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
utah,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
virginia,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
washington,6,2,1,1,1,4,0,1,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
wisconsin,6,2,1,1,1,4,1,0,4,2,SSF-001;SSF-002;SSF-003;SSF-004;SSF-005;SSF-006;SSF-007;SSF-008,SV-001:statewide_trunk_gateway;SV-002:regional_redundancy_load_shedding;SV-003:rural_access_continuity;SV-004:terminal_local_access;SV-005:resilience_recovery_exposure;SV-006:maintenance_non_promotion,fit_sample_complete_source_inventory_required,attach source road inventory and client priority nodes before promoting any fitted role,official_designation;legal_sla;construction;cost;numeric_roi;roi;eligibility;compliance;endorsement;validation;public_readiness;state_approval;source_backed_full_inventory
