stop_id,name,state,lat,lon,requested_class,route_refs,stop_role,transfer_value,freight_volume,spacing_need,resilience_value,energy_service,land_ops_feasibility,equity_community,evidence_status,source_artifact,next_step
STOP-NASHVILLE,Nashville,TN,36.16,-86.78,S2,"I-24; I-40; I-65","major_interchange_hub; mid_south_service; logistics_market",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-24/I-40/I-65 transfer role and Nashville S2 thin-line anchor status"
STOP-KNOXVILLE,Knoxville,TN,35.96,-83.92,S3,"I-40; I-75","transfer_stop; appalachian_gateway; incident_relief",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-40/I-75 mountain-gateway resilience role"
STOP-RALEIGH,Research Triangle/Raleigh,NC,35.78,-78.64,S2,"I-40; I-85; I-95","major_interchange_hub; southeast_research_triangle; atlantic_connector",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Triangle terminal geometry and whether I-40 national stop should be Raleigh, Durham, or Greensboro"
STOP-COLUMBIA-SC,Columbia/Charleston Gateway,SC,34.00,-81.03,S3,"I-20; I-26; I-77","transfer_stop; carolina_gateway; port_connector",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Columbia transfer role and whether Charleston port access should be a separate regional stop"
STOP-CHATTANOOGA,Chattanooga,TN,35.05,-85.31,S3,"I-24; I-59; I-75","transfer_stop; appalachian_gateway; southeast_relief",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Chattanooga I-24/I-59/I-75 connector role and mountain relief service package"
STOP-PADUCAH,Paducah,KY/IL,37.08,-88.60,S3,"I-24; I-69","transfer_stop; ohio_river_service; mid_south_connector",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Paducah I-24/I-69 connector role and whether it belongs on national thin-line map"
STOP-STL,St. Louis,MO/IL,38.65,-90.30,S2,"I-70; I-55; I-64; I-44","major_interchange_hub; mississippi_gateway; intermodal_gateway",high,high,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate St. Louis Mississippi crossing role and whether I-64/I-44 relief changes station class"
STOP-LOUISVILLE,Louisville,KY,38.22,-85.75,S2,"I-64; I-65; I-71","major_interchange_hub; air_truck_gateway; ohio_valley_logistics",high,high,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate UPS Worldport/air-truck role and I-64/I-65/I-71 transfer package"
STOP-LEXINGTON,Louisville/Lexington Bluegrass,KY,38.04,-84.50,S3,"I-64; I-75","transfer_stop; bluegrass_service; ohio_valley_connector",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate whether Lexington should be separate from Louisville or a regional service stop"
STOP-CHARLESTON-WV,Charleston/Huntington,WV,38.35,-81.63,S3,"I-64; I-77; US35","transfer_stop; appalachian_service; river_valley_resilience",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Appalachian resilience/service role and I-64/I-77 transfer geometry"
STOP-HAMPTON-ROADS,Norfolk/Hampton Roads,VA,36.89,-76.30,S1,"I-64; I-664; I-95","national_terminal; port_gateway; naval_logistics",high,high,met,high,planned,medium,required,heuristic,"data/ports.csv","Validate Hampton Roads port/naval terminal role and I-64 eastern endpoint naming"
STOP-INDY,Indianapolis,IN,39.75,-86.40,S2,"I-70; I-65; I-74","major_interchange_hub; midwest_crossroads; intermodal_gateway",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Indianapolis Avon terminal and I-70/I-65 transfer package"
STOP-COLUMBUS,Columbus,OH,39.95,-82.95,S2,"I-70; I-71","major_interchange_hub; ohio_crossroads; logistics_market",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Columbus I-70/I-71 hub geometry and logistics market role"
STOP-PITTSBURGH,Pittsburgh,PA,40.44,-80.00,S3,"I-70; I-76; I-79","transfer_stop; inland_port; appalachian_gateway",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/ports.csv","Validate whether Pittsburgh should be shown on I-70 national line or regional Appalachian inset"
STOP-HARRISBURG,Harrisburg,PA,40.27,-76.88,S2,"I-76; I-81; I-83","major_interchange_hub; pennsylvania_turnpike_service; appalachian_connector",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Harrisburg I-76/I-81/I-83 transfer and Pennsylvania Turnpike S2 anchor role"
STOP-BALTIMORE,Baltimore/Washington Gateway,MD/DC,39.26,-76.58,S2,"I-70; I-95; I-695","major_interchange_hub; atlantic_terminal; port_gateway",high,high,met,medium,planned,low,required,heuristic,"data/ports.csv; data/tier-table.csv","Validate eastern I-70 terminal naming and Baltimore/Washington split"
STOP-SAV,Savannah,GA,32.10,-81.15,S3,"I-95; I-16","transfer_stop; port_gateway; southeast_port",medium,high,met,medium,planned,medium,review_needed,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate Savannah/I-16 port connector role and whether it should appear on national or regional map"
STOP-TAMPA,Tampa Bay,FL,27.95,-82.46,S3,"I-75; I-4; I-275","transfer_stop; florida_gulf_gateway; regional_port",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Tampa/I-4 transfer and whether Gulf port access belongs on the national I-75 line"
STOP-CINCINNATI,Cincinnati,OH/KY,39.10,-84.51,S2,"I-75; I-71; I-74","major_interchange_hub; ohio_river_gateway; inland_port",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/ports.csv; data/tier-table.csv","Validate Cincinnati river-port role and I-75/I-71 transfer package"
STOP-TOLEDO,Toledo,OH,41.65,-83.54,S2,"I-75; I-80; I-90","major_interchange_hub; great_lakes_manufacturing; relay_base",high,high,met,medium,planned,medium,review_needed,heuristic,"data/relay-hubs.toml","Validate Toledo I-75/I-80/I-90 hub geometry and auto-parts relay role"
STOP-DETROIT,Detroit/Ambassador Gateway,MI/ON,42.33,-83.07,S1,"I-75; I-94","national_terminal; border_gateway; auto_parts_gateway",high,high,met,high,planned,medium,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate Ambassador Bridge terminal naming, border constraints, and I-75/I-94 split"
STOP-RIC,Richmond,VA,37.54,-77.43,S2,"I-95; I-85; I-64","major_interchange_hub; relay_base; mid_atlantic_transfer",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/relay-hubs.toml","Validate I-95/I-85 split geometry and Mid-Atlantic relay package"
STOP-WYTHEVILLE,Wytheville,VA,36.95,-81.08,S3,"I-77; I-81","transfer_stop; appalachian_connector; mountain_service",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-77/I-81 mountain connector role and service spacing"
STOP-ROANOKE,Roanoke,VA,37.27,-79.94,S3,"I-81; US220","transfer_stop; appalachian_service; valley_logistics",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Roanoke I-81 service role and whether it should appear on thin-line map"
STOP-HAGERSTOWN,Hagerstown,MD,39.64,-77.72,S3,"I-70; I-81","transfer_stop; appalachian_valley_connector; northeast_relief",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate I-70/I-81 connector role and northeast relief function"
STOP-CAPITAL-BELTWAY,Washington Capital Beltway,DC/MD/VA,38.90,-77.04,S2,"I-95; I-495; I-395","major_interchange_hub; capital_beltway_relief; northeast_gateway",high,medium,met,medium,planned,low,required,heuristic,"data/tier-table.csv; data/tier-node-exceptions.csv","Validate whether I-495 deserves T2 thin-line relief status or should become a regional/local inset"
STOP-TYSONS-ALEXANDRIA,Tysons/Alexandria Beltway,VA,38.86,-77.22,S3,"I-495; I-66; I-395","transfer_stop; capital_beltway_service; local_relief",medium,medium,met,medium,planned,low,required,heuristic,"data/tier-table.csv; data/tier-node-exceptions.csv","Validate Capital Beltway stop split and whether this belongs on a regional inset only"
STOP-BAL-PHL,Baltimore/Philadelphia,MD/PA,39.95,-75.14,S2,"I-95; I-76; I-83","major_interchange_hub; port_gateway; northeast_megalopolis",high,high,met,medium,planned,low,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Decide whether Baltimore and Philadelphia should be separate stops or one schematic megalopolis stop"
STOP-NY-NJ,New York/New Jersey,NY/NJ,40.65,-74.15,S1,"I-95; I-80; I-78; I-87","national_terminal; port_gateway; northeast_gateway",high,high,met,high,planned,low,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate port terminal, bridge/tunnel constraints, and whether Newark should be the named freight stop"
STOP-BOS,Boston,MA,42.35,-71.06,S2,"I-95; I-90","major_interchange_hub; relay_base; northeast_terminal",high,medium,met,medium,planned,low,review_needed,heuristic,"data/relay-hubs.toml","Validate I-95/Mass Pike terminal geometry and New England relay service package"
STOP-CLT,Charlotte,NC,35.21,-80.84,S2,"I-40; I-77; I-85","major_interchange_hub; southeast_distribution",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Charlotte as I-77/I-85 thin-line anchor and southeast distribution hub"
STOP-MOBILE,Mobile,AL,30.68,-88.04,S3,"I-10; I-65","transfer_stop; port_gateway",medium,medium,check,medium,planned,medium,review_needed,heuristic,"data/ports.csv; data/tier-node-exceptions.csv","Validate I-65 terminal-worthy exception and Gulf service package"
STOP-NOLA-BR,New Orleans/Baton Rouge,LA,30.00,-89.95,S3,"I-10; I-12; I-55","transfer_stop; river_port; gulf_export_gateway",medium,high,met,high,planned,medium,required,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate whether New Orleans, Baton Rouge, or a shared river-port terminal should be the named I-10 stop"
STOP-PORTLAND,Portland,OR,45.57,-122.67,S2,"I-5; I-84; I-205; US30","major_interchange_hub; port_gateway; columbia_gorge_terminal",high,medium,met,high,planned,medium,review_needed,heuristic,"data/ports.csv; data/intermodal_terminals.csv","Validate Portland I-5/I-84 terminal role independent of I-205 local-loop status"
STOP-BOISE,Boise/Treasure Valley,ID,43.62,-116.20,S3,"I-84; US95","transfer_stop; inland_northwest_service; agricultural_logistics",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Boise/Treasure Valley service role and I-84/US95 connector value"
STOP-SLC,Salt Lake City,UT,40.76,-111.90,S2,"I-15; I-80; I-84","major_interchange_hub; western_rail_truck_gateway; mountain_terminal",high,medium,met,high,planned,medium,review_needed,heuristic,"data/intermodal_terminals.csv","Validate Salt Lake/Ogden I-84 terminal geometry and I-15/I-80 transfer package"
STOP-CHEYENNE,Cheyenne/Laramie,WY,41.14,-104.82,S3,"I-25; I-80; US30; US287","transfer_stop; high_plains_service; mountain_weather_gateway",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Cheyenne/Laramie high-plains transfer and weather service role"
STOP-OMAHA,Omaha/Council Bluffs,NE/IA,41.26,-95.94,S2,"I-29; I-80; US30; US6","major_interchange_hub; missouri_river_gateway; plains_service",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Omaha/Council Bluffs as US30/US6 thin-line anchor and I-80/I-29 connector"
STOP-SOUTH-BEND,South Bend/Elkhart,IN,41.68,-86.25,S2,"I-80; I-90; US30; US6","major_interchange_hub; northern_indiana_service; manufacturing_corridor",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate northern Indiana thin-line anchor and whether Chicago/Gary absorbs this on the schematic"
STOP-LASVEGAS,Las Vegas,NV,36.17,-115.14,S3,"I-15; US6; US95","transfer_stop; desert_service; southwest_gateway",medium,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Las Vegas desert-service role for US6 and I-15 thin-line planning"
STOP-TULSA,Tulsa,OK,36.15,-95.99,S3,"I-44; US70; US75","transfer_stop; southern_plains_service; energy_logistics",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Tulsa/Oklahoma connector role for US70 and I-44"
STOP-LITTLE-ROCK,Little Rock,AR,34.75,-92.29,S2,"I-30; I-40; US70; US80","major_interchange_hub; arkansas_gateway; southern_connector",high,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Little Rock US70/US80 thin-line anchor and I-30/I-40 transfer role"
STOP-JOPLIN,Joplin,MO,37.08,-94.51,S3,"I-44; I-49","transfer_stop; ozarks_connector; four_state_service",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Joplin I-44/I-49 connector role and whether it belongs on national thin-line map"
STOP-MONTGOMERY,Montgomery,AL,32.38,-86.30,S3,"I-65; I-85; US80","transfer_stop; alabama_gateway; civil_rights_corridor",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Montgomery US80/I-65/I-85 connector role"
STOP-ABILENE,Abilene,TX,32.45,-99.73,S3,"I-20; US83; US80","transfer_stop; west_texas_service; plains_connector",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Abilene US83/US80 connector role and West Texas service need"
STOP-RAPID-CITY,Rapid City,SD,44.08,-103.23,S2,"I-90; US83","major_interchange_hub; northern_plains_service; black_hills_gateway",high,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Rapid City US83/I-90 thin-line anchor and resilience role"
STOP-GULFPORT,Gulfport/Biloxi,MS,30.37,-89.09,S2,"I-10; US90","major_interchange_hub; gulf_coast_service; storm_resilience",high,medium,met,high,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Gulf Coast US90 thin-line anchor and hurricane resilience role"
STOP-LAFAYETTE,Lafayette,LA,30.22,-92.02,S3,"I-10; US90","transfer_stop; gulf_energy_service; cajun_corridor",medium,medium,met,medium,planned,medium,review_needed,heuristic,"data/tier-table.csv","Validate Lafayette US90/I-10 energy logistics and service role"
STOP-SEA,Seattle,WA,47.58,-122.33,S2,"I-5; I-90","major_interchange_hub; relay_base; port_gateway",high,medium,met,high,planned,medium,review_needed,heuristic,"data/relay-hubs.toml; data/ports.csv; data/intermodal_terminals.csv","Validate Bellevue/I-90 transfer geometry, port access, and Cascades service package"
STOP-BLAINE,Blaine/Vancouver Gateway,WA/BC,48.99,-122.75,S1,"I-5","national_terminal; border_gateway",high,high,met,high,planned,medium,required,heuristic,"data/ports.csv; data/relay-hubs.toml","Validate border terminal naming and cross-border freight/service assumptions"
