budget_id,optimizer_run_id,tier,region_id,subject_scope,subject_id,segment_bundle_id,route,ledger_row_count,hard_blocker_count,claim_blocker_count,review_count,budget_debt_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,blocking_claims,qualification_effects,next_artifacts,constraint_ledger_artifact,validation_status
CB-T2-BUNDLE-USHWYBUNDLE3951F9F995CA2C3F,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.3951F9F995CA2C3F,US.HWYBUNDLE.3951F9F995CA2C3F,I270,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE5BC12763752E2BEA,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.5BC12763752E2BEA,US.HWYBUNDLE.5BC12763752E2BEA,I680,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLE5FA9BA2B1304E6EB,tier-optimizer-current,T2,component-0,bundle,US.HWYBUNDLE.5FA9BA2B1304E6EB,US.HWYBUNDLE.5FA9BA2B1304E6EB,I220,1,0,0,1,1,25.0,0.0,25.0,asset_condition_debt,sla;transit;upgrade,,data/tier-pavement-docket.csv,data/optimizer-constraint-ledger.csv,review
CB-T2-BUNDLE-USHWYBUNDLE9CCA86DC1043AB18,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.9CCA86DC1043AB18,US.HWYBUNDLE.9CCA86DC1043AB18,I37,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,"accepted game/ops bundle evidence policy removes bundle-binding blockers; qualification_gate_policy=accepted when structural diagnostics pass; qualification_game_use=default playable service for incidents, upgrades, and restitches",data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLEA6BC2D367A84A052,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.A6BC2D367A84A052,US.HWYBUNDLE.A6BC2D367A84A052,I240,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLEBCBAB11FF37E74DA,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.BCBAB11FF37E74DA,US.HWYBUNDLE.BCBAB11FF37E74DA,I295,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLEC1E1B532E4FE8371,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.C1E1B532E4FE8371,US.HWYBUNDLE.C1E1B532E4FE8371,I610,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-BUNDLE-USHWYBUNDLED6B01122CB05A1BA,tier-optimizer-current,T2,component-0,bundle,US.HWYBUNDLE.D6B01122CB05A1BA,US.HWYBUNDLE.D6B01122CB05A1BA,I110,2,0,0,1,1,5.0,0.0,5.0,asset_condition_debt|game_ops_bundle_binding_relief,sla;transit;upgrade,,data/optimizer-constraint-budget.csv;data/tier-pavement-docket.csv,data/optimizer-constraint-ledger.csv,review
CB-T2-BUNDLE-USHWYBUNDLEF09BBE026AC0506F,tier-optimizer-current,T2,game-campaign,bundle,US.HWYBUNDLE.F09BBE026AC0506F,US.HWYBUNDLE.F09BBE026AC0506F,I195,1,0,0,0,0,0.0,0.0,0.0,game_ops_bundle_binding_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-GAME-ATLANTAMANAGEDLANESTRESS,tier-optimizer-current,T2,game-campaign,game,atlanta-managed-lane-stress,,,1,0,0,0,0,0.0,0.0,0.0,game_ops_publication_readiness_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-GAME-BLUEPRINTHEARING,tier-optimizer-current,T2,game-campaign,game,blueprint-hearing,,,1,0,0,0,0,0.0,0.0,0.0,game_ops_publication_readiness_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-GAME-HOUSTONPORTSURGE,tier-optimizer-current,T2,game-campaign,game,houston-port-surge,,,1,0,0,0,0,0.0,0.0,0.0,game_ops_publication_readiness_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I25,tier-optimizer-current,T2,,route,I25,,I25,1,0,0,0,0,0.0,0.0,0.0,beck_label_density_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I285,tier-optimizer-current,T2,,route,I285,,I285,1,0,0,0,0,0.0,0.0,0.0,beck_label_density_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I405,tier-optimizer-current,T2,,route,I405,,I405,1,0,0,0,0,0.0,0.0,0.0,beck_label_density_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I44,tier-optimizer-current,T2,,route,I44,,I44,1,0,0,0,0,0.0,0.0,0.0,beck_long_connector_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I49,tier-optimizer-current,T2,,route,I49,,I49,1,0,0,0,0,0.0,0.0,0.0,beck_label_density_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I495,tier-optimizer-current,T2,,route,I495,,I495,1,0,0,0,0,0.0,0.0,0.0,beck_label_density_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I65,tier-optimizer-current,T2,,route,I65,,I65,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-I81,tier-optimizer-current,T2,,route,I81,,I81,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US30,tier-optimizer-current,T2,,route,US30,,US30,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US6,tier-optimizer-current,T2,,route,US6,,US6,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US70,tier-optimizer-current,T2,,route,US70,,US70,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US80,tier-optimizer-current,T2,,route,US80,,US80,1,0,0,0,0,0.0,0.0,0.0,beck_transfer_complexity_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US83,tier-optimizer-current,T2,,route,US83,,US83,1,0,0,0,0,0.0,0.0,0.0,beck_long_connector_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-US90,tier-optimizer-current,T2,,route,US90,,US90,1,0,0,0,0,0.0,0.0,0.0,beck_long_connector_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T2-ROUTE-ALLT2PARALLELSERVICES,tier-optimizer-current,T2,,route,__all_t2_parallel_services__,,__all_t2_parallel_services__,1,0,0,0,0,0.0,0.0,0.0,duplication_and_parallel_service,,,data/game/t2-bundle-overlays.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-I135,tier-optimizer-current,T3,t3-mountain-west,route,I-135,,I-135,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-I180,tier-optimizer-current,T3,t3-great-lakes,route,I-180,,I-180,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-US22,tier-optimizer-current,T3,t3-great-lakes,route,US22,,US22,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-US281,tier-optimizer-current,T3,t3-texas-border,route,US281,,US281,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-US74,tier-optimizer-current,T3,t3-great-lakes,route,US74,,US74,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-T3-ROUTE-US90Z,tier-optimizer-current,T3,t3-southeast,route,US90Z,,US90Z,1,0,0,0,0,0.0,0.0,0.0,lower_tier_feeder_gap_relief,,,data/optimizer-constraint-budget.csv,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-ACSCOUNTY,tier-optimizer-current,all,source-acquisition,source,acs-county,,,1,0,0,0,0,0.0,0.0,0.0,source_acquisition_contract,,,docs/source-fetch-cache-policy.md,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-FEMACORRIDOR,tier-optimizer-current,all,source-acquisition,source,fema-corridor,,,1,0,0,0,0,0.0,0.0,0.0,source_acquisition_contract,,,docs/source-fetch-cache-policy.md,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-HPMSNATIONAL,tier-optimizer-current,all,source-acquisition,source,hpms-national,,,1,0,0,0,0,0.0,0.0,0.0,source_acquisition_contract,,,docs/source-fetch-cache-policy.md,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-HPMSSTATESCOPE,tier-optimizer-current,all,source-acquisition,source,hpms-state-scope,,,1,0,0,0,0,0.0,0.0,0.0,source_acquisition_contract,,,docs/source-fetch-cache-policy.md,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-MANIFESTDOWNLOADS,tier-optimizer-current,all,source-acquisition,source,manifest-downloads,,,1,0,0,0,0,0.0,0.0,0.0,source_acquisition_contract,,,docs/source-fetch-cache-policy.md,data/optimizer-constraint-ledger.csv,pass
CB-all-SOURCE-T1LIVEEVENTSNAPSHOTS,tier-optimizer-current,all,source-acquisition,source,t1-live-event-snapshots,,,1,0,1,1,0,0.0,0.0,1.0,source_acquisition_snapshot_guard,evidence,,data/t1-evidence-windows.csv,data/optimizer-constraint-ledger.csv,review
