proof_intake_id,source_access_id,proof_review_id,proof_artifact_id,acquisition_id,queue_id,route,zone_id,required_artifact_fields,required_contact_statement,proof_artifact,proof_status,proof_blocker,blocker_claims_before,blocker_claims_after,claim_blocker_delta,next_artifact,validation_status
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI115,T4CONTACT-T3GREATLAKES-I115,I-115,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI196,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI196,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI196,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI196,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI196,T4CONTACT-T3GREATLAKES-I196,I-196,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI235,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI235,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI235,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI235,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI235,T4CONTACT-T3GREATLAKES-I235,I-235,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI255,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI255,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI255,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI255,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI255,T4CONTACT-T3MIDSOUTH-I255,I-255,t3-mid-south,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI271,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI271,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI271,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI271,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI271,T4CONTACT-T3GREATLAKES-I271,I-271,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI276,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI276,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI276,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI276,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI276,T4CONTACT-T3GREATLAKES-I276,I-276,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI277,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI277,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI277,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MIDSOUTHI277,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MIDSOUTHI277,T4CONTACT-T3MIDSOUTH-I277,I-277,t3-mid-south,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI279,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI279,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI279,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI279,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI279,T4CONTACT-T3GREATLAKES-I279,I-279,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI294,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI294,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI294,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI294,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI294,T4CONTACT-T3GREATLAKES-I294,I-294,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI335,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI335,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI335,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI335,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3MOUNTAINWESTI335,T4CONTACT-T3MOUNTAINWEST-I335,I-335,t3-mountain-west,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI390,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI390,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI390,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI390,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI390,T4CONTACT-T3GREATLAKES-I390,I-390,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI465,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI465,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI465,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI465,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI465,T4CONTACT-T3GREATLAKES-I465,I-465,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI471,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI471,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI471,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI471,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI471,T4CONTACT-T3GREATLAKES-I471,I-471,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI478,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI478,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI478,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI478,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI478,T4CONTACT-T3GREATLAKES-I478,I-478,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
T4ACCESSINTAKE-T4ACCESSSOURCET4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI496,T4ACCESSSOURCE-T4ACCESSREVIEWPROOFT4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI496,T4ACCESSREVIEWPROOF-T4ACCESSARTIFACTT4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI496,T4ACCESSARTIFACT-T4ACCESSACQT4ACCESSREVIEWT4CONTACTT3GREATLAKESI496,T4ACCESSACQ-T4ACCESSREVIEWT4CONTACTT3GREATLAKESI496,T4CONTACT-T3GREATLAKES-I496,I-496,t3-great-lakes,source title; source url or cached artifact; capture date; route; terminal; connector,non-seed source statement that the route provides route-to-terminal contact,source-needed,source-needed,manual or cached non-seed terminal-access proof artifact has not been captured or reviewed,map;publication;upgrade,map;publication;upgrade,0,data/t4-terminal-access-proof-artifacts.csv,review
