state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
nebraska,NE-SAMPLE-OMA-AIR,Omaha airport access,Omaha airport,Omaha tier node,airport-or-local,terminal-access,T4,,Airport and river-terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints flood exposure and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
nebraska,NE-SAMPLE-MAINT,example maintained Sandhills route,rural-a,rural-b,NDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-I94,I-94,Montana gateway,Minnesota gateway,NDDOT,interstate,T1,R,East-west northern plains trunk and Fargo/Bismarck promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-US83,US 83,South Dakota gateway,Canadian gateway,NDDOT,US-highway,T1,R,North-south statewide connector and Canadian gateway promise,SSF-001|SSF-002|SSF-004,heuristic-held,Validate cross-state continuity winter operations and gateway access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-US2,US 2,Montana gateway,Minnesota gateway,NDDOT,US-highway,T2,R,Northern tier connector and I-94 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity winter exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-ND22,ND 22,Dickinson,Williston region,NDDOT,state-highway,T3,R,Energy-region rural access and sparse-service continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation emergency access and industry demand,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-AG-ENERGY,agriculture and energy terminal access,Williston freight district,Williston tier node,terminal-or-local,terminal-access,T4,,Energy and agricultural terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints seasonal recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
north-dakota,ND-SAMPLE-MAINT,example maintained prairie route,rural-a,rural-b,NDDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-I90,I-90,Idaho gateway,Wyoming gateway,MDT,interstate,T1,R,Southern Montana trunk and mountain freight promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate pass closure recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-I15,I-15,Idaho gateway,Canadian gateway,MDT,interstate,T1,R,North-south trunk and Canadian gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure exposure and cross-border continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-US2,US 2,Idaho gateway,North Dakota gateway,MDT,US-highway,T2,R,Northern tier connector and sparse-region redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity winter exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-US93,US 93,Missoula,Canadian gateway,MDT,US-highway,T3,R,Western Montana rural and recreation access continuity candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate rural service nodes seasonal demand and pass recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-RAIL-AG,agriculture and rail terminal access,Great Falls freight district,Great Falls tier node,terminal-or-local,terminal-access,T4,,Agricultural and rail terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
montana,MT-SAMPLE-MAINT,example maintained mountain route,rural-a,rural-b,MDT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
