zone_id,zone_name,obligation_class,route,current_tier,current_score,constraint_adjusted_score,hard_blocker_count,claim_blocker_count,constraint_debt_cost_m,lifecycle_debt_cost_m,constraint_penalty_score,top_constraint_classes,constraint_ledger_artifact,promise_horizon_hours,column_decision,zone_role,contact_requirement,map_treatment,selection_basis,source_obligation,next_artifact,optimizer_effect,validation_status
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-675,T3,45.5,45.5,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,I-96,T3,45.2,45.2,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,US40,T3,45.1,45.1,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-great-lakes,Great Lakes / Ohio Valley,regional-upgrade-review,US75,T3,45.1,45.1,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,I240,T2,62.3,61.3,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,I49,T2,59.9,59.65,0,1,0.0,0.0,0.25,beck_label_density,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,I295,T2,55.0,54.0,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,I635,T2,54.9,53.9,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mid-south,Mid-South / Delta / Ozarks,regional-feeder-access,I664,T2,54.8,53.8,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mid-south,Mid-South / Delta / Ozarks,regional-upgrade-review,I-630,T3,46.7,46.7,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,I25,T2,66.3,66.05,0,1,0.0,0.0,0.25,beck_label_density,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,I680,T2,60.2,59.2,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,I205,T2,56.9,55.9,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,I225,T2,55.8,54.8,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,US2,T2,51.7,50.300000000000004,0,1,0.4,0.0,1.4,asset_condition_debt;game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-mountain-west,Mountain West / Interior Coverage,regional-feeder-access,I-135,T4,29.8,27.8,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-mountain-west,Mountain West / Interior Coverage,regional-upgrade-review,I-8,T3,45.3,45.3,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-mountain-west,Mountain West / Interior Coverage,regional-upgrade-review,I-215,T3,45.0,45.0,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-southeast,Southeast / Appalachia,regional-feeder-access,I65,T2,64.9,62.900000000000006,0,1,0.0,0.0,2.0,beck_transfer_complexity,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-southeast,Southeast / Appalachia,regional-feeder-access,I24,T2,61.5,61.5,0,0,0.0,0.0,0.0,none,,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-southeast,Southeast / Appalachia,regional-feeder-access,I22,T2,53.5,53.5,0,0,0.0,0.0,0.0,none,,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-southeast,Southeast / Appalachia,regional-feeder-access,I37,T2,50.6,49.6,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-southeast,Southeast / Appalachia,regional-feeder-access,US90Z,T4,29.9,27.9,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-southeast,Southeast / Appalachia,regional-upgrade-review,I-57,T3,49.6,49.6,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-southeast,Southeast / Appalachia,regional-upgrade-review,I-16,T3,48.7,48.7,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-southeast,Southeast / Appalachia,regional-upgrade-review,I-464,T3,45.0,45.0,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-texas-border,Texas Border / Gulf Access,regional-feeder-access,I610,T2,69.4,68.4,0,1,0.0,0.0,1.0,game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-texas-border,Texas Border / Gulf Access,regional-feeder-access,I110,T2,65.6,24.599999999999994,0,1,40.0,0.0,41.0,asset_condition_debt;game_ops_bundle_binding,data/optimizer-constraint-ledger.csv,6,selected,regional-feeder,higher-tier-or-regional-contact-required,render-as-zone-column,score meets T3 threshold and satisfies a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-zone-map-diagnostics.csv,feeds the T3 zone map and stop-column selector,pass
t3-texas-border,Texas Border / Gulf Access,regional-feeder-access,US281,T4,25.8,23.8,0,2,0.0,0.0,2.0,lower_tier_feeder_gap;terminal_access_evidence_gap,data/optimizer-constraint-ledger.csv,6,review,below-threshold-feeder-candidate,score-or-terminal-evidence-required,show-as-held-zone-candidate,candidate is below T3 threshold for a 6h feeder obligation,select T3 feeder/contact chain inside the zone,data/t3-t4-access-gaps.csv,holds weak feeder pressure for access-gap review instead of selecting it,review
t3-texas-border,Texas Border / Gulf Access,regional-upgrade-review,I-19,T3,49.3,49.3,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-texas-border,Texas Border / Gulf Access,regional-upgrade-review,US69,T3,48.4,48.4,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
t3-texas-border,Texas Border / Gulf Access,regional-upgrade-review,I-2,T3,45.7,45.7,0,0,0.0,0.0,0.0,none,,24,upward-review,possible-t2-upgrade,t2-contact-witness-required,show-as-review-connector,"24h obligation is a T2 reopening review, not a T3 feeder selection",prove T2 contact and regional service value before upgrade,data/t2-bubble-up-review.csv,keeps near-threshold routes visible while blocking direct promotion,review
