standard_id,tier,standard_family,standard,outcome,mechanism,primary_stressor,acceptance_gate,evidence_level,current_artifact,blocking_gap,next_command_or_test,owner_track
T1-SPURS,T1,resilience,"rural resilience egress every 50 miles","incident evacuation and alternate routing","directional spurs to US highway network","rural segment closure, wildfire, hazmat, winter storm","closure scenario restores >=80% T1 throughput within 4 hours or labels miss","Planned","gaps/resilience.md; crates/route-sim/src/scenarios/donner-closure.toml","Spur locations and US-route capacity are not selected","L1: spur candidate ledger; L2: closure scenario with alternate capacity","B.3"
T1-CLIMATE,T1,resilience,"500-year flood protection/elevated roadbed for SFHA segments","avoid weather-driven corridor outages","hardening at flood-exposed segments","flood, sea-level rise, storm surge","hardened segment lowers expected closure days and improves NPV under hazard scenarios","Heuristic","gaps/resilience.md; data/hazard_zones.csv; research/publications/B.3+resilience-holes","FEMA site joins and climate frequency are partial","L1: FEMA/NFHL segment overlay; L2: flood closure sensitivity","D/B.3"
T1-RECOVERY,T1,resilience,"80% throughput restored within 4 hours after T1 closure","network service continuity","alternate routing, diamonds, spurs, intermodal diversion","major closure and compound failure","incident throughput / baseline throughput >= 0.80 within recovery window","Heuristic","route sim scenario; crates/route-sim/src/scenario.rs","Current t90 is simplified; no operational restoration model","L0: recovery arithmetic; L2: closure scenario matrix","C.2"
T1-INTERMODAL,T1,resilience,"one Class I intermodal spur per traversed state","modal redundancy and truck-load reduction","short T1-to-terminal connector","highway closure, port surge, commodity shift","intermodal diversion sensitivity reduces highway demand enough to improve bottleneck rank or SLA","Heuristic","gaps/intermodal.md; research/publications/C.2+national-max-flow","Single-commodity max-flow must be sensitivity-tested","L2: 15-25% rail-eligible diversion sensitivity","C.2"
T1-CD,T1,access_control,"C-D roads through metros over 500k on T1 alignment","reduce weave conflicts and preserve express mainline","separate local access from through movement","urban ramp churn and incident spillback","metro T1 PTI improves without worsening local-access failure modes","Planned","specs/2026-05-06-tier-standards.md","No metro span inventory or C-D capacity model","L1: metro T1 C-D needs ledger; L2: weave/merge sensitivity","E.2"
T1-BRIDGE,T1,safety,"no load restrictions; 16 ft minimum clearance; fair+ bridges by 2030","freight envelope reliability and safety","remove bridge/clearance constraints from primary arteries","oversize load detour, bridge posting, clearance strike","T1 corridor has no posted mainline freight restrictions in source data","Planned","specs/2026-05-06-tier-standards.md","Bridge/clearance data not joined to graph","L1: bridge clearance/posting ledger","E.2"
T2-RELIEF,T2,throughput,"T2 PTI <= 1.30; expand only where peak V/C > 0.90","regional relief without overbuilding","truck-friendly regional connectors absorb T1-adjacent demand","T1 incident spillover and regional peak demand","T2 investment improves T1/T2 scenario outcome per dollar more than T1 widening alternative","Heuristic","route flow; route invest; gaps/bottleneck.md","Peak V/C and directional demand need source labels","L2: T1 relief corridor investment comparison","C.2/E.2"
T2-RESILIENCE,T2,resilience,"T2 spurs every 75 miles; fair+ bridges by 2035","regional detour viability","alternate routing and bridge reliability","T1 closure reroute and regional closure","alternate route within 60 miles exists and is not capacity-collapsed","Planned","specs/2026-05-06-tier-standards.md","Bridge and alternate-capacity evidence missing","L1: T2 alternate route inventory","B.3"
T3-COVERAGE,T3,access,"T3 fills 30-mile community access gaps with <=10 mile rural spurs","rural access, evacuation, freight market reach","targeted access spurs to communities over 5000 outside threshold","county centroid artifact, rural isolation, evacuation","coverage artifact proves true gap class and population affected","Implemented","route coverage; data/coverage-gaps.csv","Some county centroid artifacts remain labeled rather than solved","L1: coverage artifact regeneration test","B.1"
T3-OPERATIONS,T3,operations,"T3 PTI <= 1.50, basic rest/EV/transit access","functional regional reliability","basic modernization without capacity expansion","long rural gaps, low service frequency, closure","meets functional reliability/access standard or is labeled coverage-only","Planned","specs/2026-05-06-tier-standards.md","No T3-specific SLA simulation fixtures","L2: regional feeder SLA/access scenario","E.2"
T4-MAINTENANCE,T4,state_of_good_repair,"T4 maintenance and safety only; no expansion","avoid regression without overinvestment","pavement, bridge, signing, safety floor","asset degradation and safety hazard","asset condition improves to fair+ without new capacity claim","Planned","specs/2026-05-06-tier-standards.md","Asset condition data not joined","L1: T4 asset condition ledger","E.2"
