route,current_tier,current_score,confidence,confidence_label,pressure_type,witness_action,target_tier,selection_basis,source_artifact,next_artifact,validation_status
I-691,T4,28.9,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US167,T4,28.9,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US421,T4,28.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-140,T4,28.7,0.65,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-471,T4,28.7,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-175,T4,28.5,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-840,T4,28.5,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US24,T4,28.5,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-478,T4,28.4,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-705,T4,28.4,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US84,T4,28.4,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US96,T4,28.4,0.54,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-276,T4,28.3,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US250,T4,28.3,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-235,T4,28.2,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US26,T4,28.2,0.63,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US270,T4,28.2,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-129,T4,28.0,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US87,T4,28.0,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-176,T4,27.9,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-190,T4,27.9,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-335,T4,27.9,0.7,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US76,T4,27.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US31,T4,27.6,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-795,T4,27.5,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US14,T4,27.4,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-696,T4,27.3,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US66,T4,27.0,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-465,T4,26.9,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-115,T4,26.8,0.66,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US82,T4,26.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-196,T4,26.6,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-69E,T4,26.6,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US45W,T4,26.6,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-990,T4,26.5,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US41,T4,26.5,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-294,T4,26.4,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US224,T4,26.4,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US119,T4,26.3,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US278,T4,26.2,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-255,T4,26.0,0.6,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-271,T4,26.0,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-185,T4,25.9,0.72,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-277,T4,25.8,0.53,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-390,T4,25.8,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-759,T4,25.8,0.65,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US281,T4,25.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US35,T4,25.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US42,T4,25.8,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US7,T4,25.7,0.49,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US45E,T4,25.5,0.49,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-279,T4,25.4,0.54,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-169,T4,25.2,0.65,Medium,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-496,T4,25.1,0.58,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
I-181,T4,25.0,0.51,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
US223,T4,25.0,0.49,Low,local-upgrade-pressure,evaluate-for-t3-access-candidate,T3,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/tier-region-workloads.csv,review
