state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
arkansas,AR-SAMPLE-PORT-LR,Little Rock port access,Little Rock port,Little Rock tier node,port-or-local,terminal-access,T4,,Arkansas River terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory local truck routing and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
arkansas,AR-SAMPLE-MAINT,example maintained Ozark route,rural-a,rural-b,ArDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-I55,I-55,Memphis gateway,New Orleans gateway,MDOT,interstate,T1,R,Mississippi River-adjacent north-south trunk and freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure flood/storm recovery and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-I20,I-20,Louisiana gateway,Alabama gateway,MDOT,interstate,T1,R,East-west Gulf/Southeast trunk and Jackson service promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate storm disruption and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-US49,US 49,Jackson,Gulfport,MDOT,US-highway,T2,R,Capital-to-Gulf connector and evacuation/load-shedding candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity hurricane evacuation and freight suitability,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-US82,US 82,Delta communities,Columbus gateway,MDOT,US-highway,T3,R,Delta/east Mississippi rural access and river-market continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation flood exposure and service-node access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-PORT-GPT,Gulfport port access,Port of Gulfport,Gulfport tier node,port-or-local,terminal-access,T4,,Gulf port terminal and storm recovery access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints hurricane recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
mississippi,MS-SAMPLE-MAINT,example maintained Delta route,rural-a,rural-b,MDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-NJTP,NJ Turnpike,Delaware gateway,New York gateway,NJDOT/Turnpike Authority,toll-road,T1,R,Northeast freight trunk and port/metro reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure interchange concentration and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-GSP,Garden State Parkway,South Jersey,North Jersey,NJDOT/Turnpike Authority,toll-road,T1,R,Statewide shore/north-south service and evacuation promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate seasonal demand evacuation and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-US1,US 1,Trenton,Newark gateway,NJDOT,US-highway,T2,R,Dense urban connector and turnpike redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class constraints urban bottlenecks and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-NJ47,NJ 47,Cape May,South Jersey,NJDOT,state-highway,T3,R,South Jersey shore access and coastal evacuation candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate coastal evacuation bridge exposure and rural/shore access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-PORT-NWK,Port Newark access,Port Newark/Newark terminals,Newark tier node,port-or-local,terminal-access,T4,,Port Newark terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal gate access local routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-jersey,NJ-SAMPLE-X,example restricted parkway/local segment,local-a,local-b,state-or-local,restricted-local-road,X,,Outside current freight/service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting restricted local geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
