country,system_id,from_node,to_node,from_label,to_label,from_lon,from_lat,to_lon,to_lat,tier,market_layer,service_promise,why_it_matters,evidence_label,claim_boundary
china,china-market-system-v1,SHG,NKG,Shanghai,Nanjing,121.47,31.23,118.80,32.06,T1,Yangtze Delta connector,delta redundancy and inland access,Creates short-haul redundancy inside the delta instead of one fragile endpoint.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,NKG,WUH,Nanjing,Wuhan,118.80,32.06,114.31,30.59,T1,Yangtze inland connector,Yangtze inland access,Connects coastal markets to the inland river-market system.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,WUH,CHQ,Wuhan,Chongqing,114.31,30.59,106.55,29.56,T2,Yangtze inland connector,upper Yangtze market access,Shows inland western access as a service promise with constraint holds.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,CHQ,CDU,Chongqing,Chengdu,106.55,29.56,104.07,30.67,T1,western inland market,western inland reliability,Separates the Chengdu-Chongqing market from coastal trunk claims.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,ZZH,XIY,Zhengzhou,Xi'an,113.63,34.75,108.94,34.34,T2,northwest connector,central-to-northwest access,Adds lateral national resilience and inland access rather than only east-coast logic.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,XIY,CDU,Xi'an,Chengdu,108.94,34.34,104.07,30.67,T2,western inland connector,northwest-to-west market access,Shows a second western route family with terrain/source holds.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,QDG,JIN,Qingdao,Jinan,120.38,36.07,117.12,36.65,T2,Shandong port connector,Shandong port-to-inland access,Keeps Qingdao visible as a port system input rather than a missing endpoint.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,DAL,SHE,Dalian,Shenyang,121.61,38.91,123.43,41.80,T2,northeast gateway,northeast port and industry access,Adds northeast market optionality without promoting official priority.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,SHE,BEI,Shenyang,Beijing,123.43,41.80,116.41,39.90,T2,northeast gateway,northeast-to-capital access,Shows a distinct northeastern branch for resilience and industrial access.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,NGB,HGH,Ningbo,Hangzhou,121.55,29.87,120.16,30.27,T3,port feeder,delta port feeder access,Separates port access from the trunk so terminal claims stay held.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,YTN,SZX,Yantian,Shenzhen,114.27,22.59,114.06,22.54,T3,terminal feeder,export terminal access,Shows terminal promise surface without claiming terminal readiness.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
china,china-market-system-v1,KMG,CDU,Kunming,Chengdu,102.83,24.88,104.07,30.67,T3,southwest access,southwest resilience branch,Adds 2D southwest access as a held resilience branch.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,DEL,JAI,Delhi,Jaipur,77.21,28.61,75.79,26.91,T1,northwest industrial spine,capital-to-industrial reliability,Starts with market access rather than one national highway line.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,JAI,AMD,Jaipur,Ahmedabad,75.79,26.91,72.57,23.02,T1,northwest industrial spine,industrial corridor continuity,Frames northwest production and distribution as a service market.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,AMD,MUM,Ahmedabad,Mumbai,72.57,23.02,72.88,19.08,T1,western port spine,western industrial-to-port reliability,Keeps port hinterland access in the trunk story without claiming official designation.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,MUM,PUN,Mumbai,Pune,72.88,19.08,73.86,18.52,T1,western metro-industrial spine,metro-industrial reliability,Repairs the western metro connection as a core service promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,PUN,HYD,Pune,Hyderabad,73.86,18.52,78.49,17.39,T1,west-south inland spine,west-to-south market continuity,Adds a 2D inland spine instead of forcing all value onto the coast.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,HYD,BLR,Hyderabad,Bengaluru,78.49,17.39,77.59,12.97,T1,south technology-market spine,south market reliability,Shows the south inland production/technology market as trunk-relevant.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,BLR,CHN,Bengaluru,Chennai,77.59,12.97,80.27,13.08,T1,south port spine,south inland-to-port reliability,Connects inland production to port access as a primary service surface.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,DEL,LKO,Delhi,Lucknow,77.21,28.61,80.95,26.85,T1,north regional connector,north India regional access,Adds a northern lateral connector instead of a single Delhi-to-Mumbai story.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,LKO,PTN,Lucknow,Patna,80.95,26.85,85.14,25.59,T2,Ganga market connector,eastern market access,Keeps the Ganga belt visible as a service market with validation held.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,PTN,KOL,Patna,Kolkata,85.14,25.59,88.36,22.57,T1,eastern gateway connector,eastern port/market access,Adds the east as a region to be served, not a footnote.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,KOL,BBS,Kolkata,Bhubaneswar,88.36,22.57,85.82,20.30,T2,east coast connector,east coast continuity,Builds coastal redundancy and eastern access into the map.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,BBS,VIZ,Bhubaneswar,Visakhapatnam,85.82,20.30,83.30,17.69,T2,east coast connector,east coast port and industrial access,Separates port/industrial access from the main western spine.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,VIZ,CHN,Visakhapatnam,Chennai,83.30,17.69,80.27,13.08,T2,east coast connector,east-to-south market continuity,Completes a visible eastern/southern market loop rather than a line.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,NGP,HYD,Nagpur,Hyderabad,79.09,21.15,78.49,17.39,T1,central hub connector,central distribution access,Makes Nagpur/central India a sorting-market node for cross-country service.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,NGP,BPL,Nagpur,Bhopal,79.09,21.15,77.41,23.26,T2,central resilience connector,central India alternate access,Adds a resilience/alternate connector independent of the west-coast trunk.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,BPL,DEL,Bhopal,Delhi,77.41,23.26,77.21,28.61,T2,central resilience connector,central-to-capital alternate access,Shows a second path into the capital market with explicit proof holds.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,MUN,MUM,JNPT/Mumbai Port,Mumbai,72.95,18.95,72.88,19.08,T3,port feeder,western port terminal access,Separates terminal access from metro trunk claims.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,ENN,CHN,Ennore/Chennai Port,Chennai,80.32,13.25,80.27,13.08,T3,port feeder,south port terminal access,Shows terminal promise surface without claiming terminal readiness.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,TUT,CHN,Tuticorin,Chennai,78.13,8.76,80.27,13.08,T3,south access feeder,southern port access,Adds a southern access branch so the country does not collapse into one diagonal.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
india,india-market-system-v1,GUW,KOL,Guwahati,Kolkata,91.74,26.14,88.36,22.57,T3,northeast access,northeast resilience and market access,Shows the northeast as an explicit held access branch.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,DFW,AUS,Dallas-Fort Worth,Austin,-97.04,32.90,-97.74,30.27,T1,Texas Triangle,Triangle north-central reliability,Frames the Triangle as a service market rather than a single road segment.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,AUS,SAT,Austin,San Antonio,-97.74,30.27,-98.49,29.42,T1,Texas Triangle,central-to-south metro reliability,Shows the central corridor as a recurring service promise for people and freight.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,SAT,HOU,San Antonio,Houston,-98.49,29.42,-95.37,29.76,T1,Texas Triangle,south-to-Gulf market access,Connects inland metros to Gulf markets without reducing Texas to I-35.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,HOU,DFW,Houston,Dallas-Fort Worth,-95.37,29.76,-97.04,32.90,T1,Texas Triangle,Gulf-to-North Texas reliability,Completes the Triangle as a market system with multiple routing promises.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,HOU,BEA,Houston,Beaumont,-95.37,29.76,-94.13,30.08,T1,Gulf ports,Gulf industrial port access,Separates Gulf port access from metro-trunk claims.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,HOU,COR,Houston,Corpus Christi,-95.37,29.76,-97.40,27.80,T1,Gulf ports,coastal port market access,Makes the coast visible as a service layer with held proof gaps.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,COR,BRW,Corpus Christi,Brownsville,-97.40,27.80,-97.49,25.90,T2,Gulf ports,lower coast port access,Shows lower-coast access as a candidate promise not a finished project list.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,SAT,LRD,San Antonio,Laredo,-98.49,29.42,-99.50,27.51,T1,border gateways,border gateway reliability,Adds border access as a distinct client promise surface.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,LRD,BRW,Laredo,Brownsville,-99.50,27.51,-97.49,25.90,T2,border gateways,south border market continuity,Shows border gateways as a 2D system rather than one crossing.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,ELP,MID,El Paso,Midland-Odessa,-106.49,31.76,-102.08,31.99,T2,Permian energy,west Texas energy access,Makes west Texas energy access visible with proof held.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,MID,DFW,Midland-Odessa,Dallas-Fort Worth,-102.08,31.99,-97.04,32.90,T1,Permian energy,energy-to-market access,Connects energy regions to distribution markets without overclaiming ROI.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,AMA,DFW,Amarillo,Dallas-Fort Worth,-101.83,35.22,-97.04,32.90,T2,Panhandle resilience,Panhandle-to-market resilience,Adds northern coverage and alternate access instead of only Triangle logic.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,AMA,MID,Amarillo,Midland-Odessa,-101.83,35.22,-102.08,31.99,T3,rural resilience,Panhandle-energy alternate branch,Shows rural resilience as a held access branch.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,PTX,HOU,Port Houston,Houston,-95.08,29.72,-95.37,29.76,T3,terminal feeder,Port Houston terminal access,Separates terminal readiness from metro corridor claims.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
texas,texas-market-system-v1,COR,SAT,Corpus Christi,San Antonio,-97.40,27.80,-98.49,29.42,T2,Gulf-to-inland connector,port-to-inland reliability,Connects coastal ports to inland markets as a discrete service promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,CB,DSM,Council Bluffs,Des Moines,-95.86,41.26,-93.62,41.59,T1,I-80 service spine,western gateway to central hub reliability,Frames I-80 as a service spine with held proof rather than a road drawing.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DSM,IC,Des Moines,Iowa City,-93.62,41.59,-91.53,41.66,T1,I-80 service spine,central-to-eastern reliability,Shows east-west reliability as a statewide promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,IC,QC,Iowa City,Quad Cities,-91.53,41.66,-90.58,41.52,T1,I-80 service spine,eastern river gateway reliability,Completes the spine to the Mississippi gateway.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DSM,AMES,Des Moines,Ames,-93.62,41.59,-93.62,42.03,T1,Central Iowa hub,central university and labor-market access,Makes campus/labor access visible as a service layer.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,AMES,MCW,Ames,Mason City,-93.62,42.03,-93.20,43.15,T3,northern rural access,northern rural access promise,Shows rural access as a candidate promise with source gaps held.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DSM,CR,Des Moines,Cedar Rapids,-93.62,41.59,-91.67,41.98,T1,eastern production,eastern production connector,Connects central Iowa to eastern production markets.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,CR,IC,Cedar Rapids,Iowa City,-91.67,41.98,-91.53,41.66,T2,eastern production,eastern metro-production reliability,Shows the Cedar Rapids/Iowa City pair as a local reliability promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,WAT,CR,Waterloo,Cedar Rapids,-92.34,42.49,-91.67,41.98,T2,eastern production,northeast production connector,Adds northeast manufacturing and logistics access.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,SUX,DSM,Sioux City,Des Moines,-96.40,42.50,-93.62,41.59,T1,north-south resilience,northwest-to-central resilience,Adds a north-south resilience branch instead of only I-80 logic.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,MCW,WAT,Mason City,Waterloo,-93.20,43.15,-92.34,42.49,T3,northern rural access,northern coverage connector,Shows northern access as review surface with proof held.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DSM,OTM,Des Moines,Ottumwa,-93.62,41.59,-92.41,41.02,T3,southeast rural access,southeast rural access promise,Adds rural southeast access without promoting construction readiness.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DSM,DBQ,Des Moines,Dubuque,-93.62,41.59,-90.66,42.50,T2,river gateways,northeast river gateway access,Makes river gateways part of the state service story.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
iowa,iowa-market-system-v1,DBQ,QC,Dubuque,Quad Cities,-90.66,42.50,-90.58,41.52,T2,river gateways,eastern river corridor resilience,Adds Mississippi gateway redundancy as a candidate promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,YVR,CGY,Vancouver,Calgary,-123.12,49.28,-114.07,51.05,T1,Pacific gateway,Pacific gateway to inland distribution,Shows the west coast gateway as a trunk promise with validation held.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,CGY,REG,Calgary,Regina,-114.07,51.05,-104.62,50.45,T1,prairie spine,Alberta-to-prairie reliability,Makes the prairie spine visible as a service market.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,REG,WPG,Regina,Winnipeg,-104.62,50.45,-97.14,49.90,T1,prairie spine,prairie continuity reliability,Separates prairie continuity from national map decoration.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,WPG,TOR,Winnipeg,Toronto,-97.14,49.90,-79.38,43.65,T1,cross-country trunk,long-haul market continuity,Shows cross-country service as a trunk promise with proof held.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,TOR,MTL,Toronto,Montreal,-79.38,43.65,-73.57,45.50,T1,Great Lakes / St. Lawrence,Great Lakes-St. Lawrence reliability,Frames dense eastern markets as a service system rather than one endpoint.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,MTL,HFX,Montreal,Halifax,-73.57,45.50,-63.58,44.65,T1,Atlantic access,Atlantic port and resilience access,Adds Atlantic access as a candidate market promise.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,CGY,EDM,Calgary,Edmonton,-114.07,51.05,-113.49,53.55,T2,Alberta inland market,Alberta inland distribution reliability,Shows Alberta as an inland service market with source proof held.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,EDM,FSJ,Edmonton,Fort St. John,-113.49,53.55,-120.85,56.25,T3,northern service,northern resource access,Adds northern service explicitly as held access rather than a trunk claim.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,WPG,THO,Winnipeg,Thompson,-97.14,49.90,-97.86,55.74,T3,northern service,northern Manitoba access,Shows northern access as a proof ask with validation held.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,TOR,WSR,Toronto,Windsor,-79.38,43.65,-83.04,42.31,T1,Great Lakes / St. Lawrence,southwest Ontario gateway access,Makes cross-border/industrial access visible without making official claims.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,TOR,OTT,Toronto,Ottawa,-79.38,43.65,-75.70,45.42,T1,eastern urban connector,eastern city-pair reliability,Adds eastern urban access as a service-market layer.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,OTT,MTL,Ottawa,Montreal,-75.70,45.42,-73.57,45.50,T1,eastern urban connector,capital-to-St. Lawrence access,Separates urban connector promises from trunk continuity.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,MTL,QC,Montreal,Quebec City,-73.57,45.50,-71.21,46.81,T2,St. Lawrence access,St. Lawrence corridor access,Extends eastern access without promoting official designation.,heuristic-held,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,PRR,EDM,Prince Rupert,Edmonton,-130.32,54.32,-113.49,53.55,T3,Pacific gateway,northern Pacific port access,Shows a western port option as source-needed access.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
canada,canada-market-system-v1,YVR,SEA,Vancouver,Pacific Border Gateway,-123.12,49.28,-122.33,48.99,T3,border gateway,Pacific border gateway access,Shows border interface as held access not endorsement or eligibility.,source-needed,not official network SLA construction ROI eligibility compliance endorsement validation or public-readiness
