state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
california,CA-SAMPLE-PORT-LA-LB,LA/LB port access,San Pedro Bay ports,Los Angeles tier node,port-or-local,terminal-access,T4,,Container port terminal access and local bottleneck candidate,SSF-005|SSF-007,source-needed,Validate port gate access drayage bottlenecks and terminal recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
california,CA-SAMPLE-LOCAL-X,example local duplicate frontage,frontage-a,frontage-b,local,local-road,X,,Outside current state service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting local duplicate geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-I95,I-95,Jacksonville,Miami,FDOT,interstate,T1,R,Atlantic coast and South Florida trunk promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident hurricane evacuation and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-I4,I-4,Tampa,Orlando,FDOT,interstate,T1,R,Central Florida metro trunk and tourism/freight reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate observed bottleneck history and parallel state-route relief role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-US27,US 27,South Florida,Central Florida,FDOT,US-highway,T2,R,Inland redundancy and evacuation load-shedding connector,SSF-002|SSF-003|SSF-004,heuristic-held,Validate truck suitability evacuation role and service-class limits,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-KEYS,Overseas Highway,Miami,Key West,FDOT,state-highway,T3,R,Keys access and evacuation resilience candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate evacuation timing bridge exposure and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-PORT-MIA,PortMiami access,PortMiami,Miami tier node,port-or-local,terminal-access,T4,,Cruise and cargo terminal access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction and local recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
florida,FL-SAMPLE-LOCAL-M,example maintained local state access,local-a,local-b,FDOT,state-highway,M,,Maintained access route with no promoted role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-I80,I-80,Council Bluffs,Quad Cities,Iowa DOT,interstate,T1,R,Statewide east-west trunk and river gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident history winter exposure and state-route alternate penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-I35,I-35,Missouri gateway,Minnesota gateway,Iowa DOT,interstate,T1,R,Statewide north-south trunk and winter operations promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate closure recovery and Des Moines interchange exposure,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-US20,US 20,Sioux City,Dubuque,Iowa DOT,US-highway,T2,R,Northern regional connector and interstate redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate geometry travel time and truck restrictions,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-US63,US 63,Waterloo,Ottumwa,Iowa DOT,US-highway,T3,R,Rural and regional access connector,SSF-004|SSF-006,heuristic-held,Validate rural service nodes and isolation penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-DSM-AIR,DSM airport access,Des Moines airport,Des Moines tier node,local-or-airport,terminal-access,T4,,Airport terminal access and local friction candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory access constraints and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
iowa,IA-SLATE-MAINT,example low-volume state route,local-a,local-b,Iowa DOT,state-highway,M,,Maintained state route with no promoted service role in sample,SSF-008,source-needed,Keep in full inventory and document why no service role is selected,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
