catalog_id,terminal_district,route_task_count,source_family,source_access_mode,required_proof_fields,acquisition_status,proof_blocker,cache_policy_artifact,next_artifact,validation_status
T4SOURCECATALOG-ATLANTAHULSEY,Atlanta Hulsey,3,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-MINNEAPOLISTWINCITIES,Minneapolis Twin Cities,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-NEWORLEANSGENTILLY,New Orleans Gentilly,5,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-NEWYORKFRESHPOND,New York Fresh Pond,6,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-PHILADELPHIAFRANKFORD,Philadelphia Frankford,3,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-PORTLANDALBINA,Portland Albina,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-SALTLAKECITY,Salt Lake City,2,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-SANANTONIOKIRBY,San Antonio Kirby,2,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-SAVANNAHGARDENCITY,Savannah Garden City,2,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-SEATTLEBNSF,Seattle BNSF,1,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
T4SOURCECATALOG-STLOUISGATEWAY,St. Louis Gateway,4,public-terminal-contact-proof,manual-or-cached-source-needed,route; terminal district; route-to-terminal contact statement; source title; source url or cached artifact; capture date,source-needed,no safe live fetcher or cached contact proof source is registered for this district,docs/source-fetch-cache-policy.md;data/source-fetch-policy.csv,waves/2026-05-13-terminal-contact-source-acquisition-spine/plans/pulse-03.md,review
