route,source_pressure_type,current_tier,current_score,target_tier,intake_class,intake_action,selection_basis,source_artifact,next_artifact,optimizer_effect,validation_status
I49,closure-demotion-pressure,T2,59.9,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 graph contact,data/t2-graph-contact-validation.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I205,closure-demotion-pressure,T2,56.9,T3,t3-regional-intake,accept-as-t3-regional-review,metro-specific segment split plus T1/T2 contact proof,data/t2-route-family-splits.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I225,demotion-pressure,T2,55.8,T3,t3-regional-intake,accept-as-t3-regional-review,local-spur,data/tier-candidate-columns.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I295,closure-demotion-pressure,T2,55.0,T3,t3-regional-intake,accept-as-t3-regional-review,metro-specific segment split plus T1/T2 contact proof,data/t2-route-family-splits.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I635,demotion-pressure,T2,54.9,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I664,demotion-pressure,T2,54.8,T3,t3-regional-intake,accept-as-t3-regional-review,local-spur,data/tier-candidate-columns.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I22,closure-demotion-pressure,T2,53.5,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 graph contact,data/t2-graph-contact-validation.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I264,demotion-pressure,T2,53.4,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I220,demotion-pressure,T2,53.2,T3,t3-regional-intake,accept-as-t3-regional-review,local-spur,data/tier-candidate-columns.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I275,demotion-pressure,T2,52.8,T3,t3-regional-intake,accept-as-t3-regional-review,endpoint-exception-demotion,data/t2-contact-resolutions.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
US2,demotion-pressure,T2,51.7,T3,t3-regional-intake,accept-as-t3-regional-review,local-spur,data/tier-candidate-columns.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
I37,closure-demotion-pressure,T2,50.6,T3,t3-regional-intake,accept-as-t3-regional-review,source-backed T1/T2 graph contact,data/t2-graph-contact-validation.csv,data/t3-t4-pressure-intake.csv,consume T2 demotion as regional feeder review,review
US90Z,local-upgrade-pressure,T4,29.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-135,local-upgrade-pressure,T4,29.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US74,local-upgrade-pressure,T4,29.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-180,local-upgrade-pressure,T4,29.7,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US22,local-upgrade-pressure,T4,29.7,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-880,local-upgrade-pressure,T4,29.6,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US10,local-upgrade-pressure,T4,29.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-72,local-upgrade-pressure,T4,29.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US301,local-upgrade-pressure,T4,29.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US15,local-upgrade-pressure,T4,29.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-510,local-upgrade-pressure,T4,29.1,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-93,local-upgrade-pressure,T4,29.1,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US95,local-upgrade-pressure,T4,29.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-691,local-upgrade-pressure,T4,28.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US167,local-upgrade-pressure,T4,28.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US421,local-upgrade-pressure,T4,28.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-140,local-upgrade-pressure,T4,28.7,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-471,local-upgrade-pressure,T4,28.7,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-175,local-upgrade-pressure,T4,28.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-840,local-upgrade-pressure,T4,28.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US24,local-upgrade-pressure,T4,28.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-478,local-upgrade-pressure,T4,28.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-705,local-upgrade-pressure,T4,28.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US84,local-upgrade-pressure,T4,28.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US96,local-upgrade-pressure,T4,28.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-276,local-upgrade-pressure,T4,28.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US250,local-upgrade-pressure,T4,28.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-235,local-upgrade-pressure,T4,28.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US26,local-upgrade-pressure,T4,28.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US270,local-upgrade-pressure,T4,28.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-129,local-upgrade-pressure,T4,28.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US87,local-upgrade-pressure,T4,28.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-176,local-upgrade-pressure,T4,27.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-190,local-upgrade-pressure,T4,27.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-335,local-upgrade-pressure,T4,27.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US76,local-upgrade-pressure,T4,27.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US31,local-upgrade-pressure,T4,27.6,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-795,local-upgrade-pressure,T4,27.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US14,local-upgrade-pressure,T4,27.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-696,local-upgrade-pressure,T4,27.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US66,local-upgrade-pressure,T4,27.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-465,local-upgrade-pressure,T4,26.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-115,local-upgrade-pressure,T4,26.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US82,local-upgrade-pressure,T4,26.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-196,local-upgrade-pressure,T4,26.6,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-69E,local-upgrade-pressure,T4,26.6,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US45W,local-upgrade-pressure,T4,26.6,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-990,local-upgrade-pressure,T4,26.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US41,local-upgrade-pressure,T4,26.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-294,local-upgrade-pressure,T4,26.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US224,local-upgrade-pressure,T4,26.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US119,local-upgrade-pressure,T4,26.3,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US278,local-upgrade-pressure,T4,26.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-255,local-upgrade-pressure,T4,26.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-271,local-upgrade-pressure,T4,26.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-185,local-upgrade-pressure,T4,25.9,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-277,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-390,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-759,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US281,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US35,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US42,local-upgrade-pressure,T4,25.8,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US7,local-upgrade-pressure,T4,25.7,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US45E,local-upgrade-pressure,T4,25.5,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-279,local-upgrade-pressure,T4,25.4,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-169,local-upgrade-pressure,T4,25.2,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-496,local-upgrade-pressure,T4,25.1,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
I-181,local-upgrade-pressure,T4,25.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
US223,local-upgrade-pressure,T4,25.0,T3,t3-regional-intake,evaluate-for-t3-zone-treatment,score-within-five-points-of-t3-threshold,data/tier-table.csv,data/t3-t4-pressure-intake.csv,hold for T3 zone treatment; no national map promotion,review
