segment_bundle_id,bundle_role,member_segment_ids,member_count,stitch_group_ids,current_tiers,current_zone_ids,route_labels,state_scope,evidence_state_scope,geometry_state_scope,bundle_aliases,source_artifacts,bundle_status,bundle_action,next_artifact,validation_status
US.HWYBUNDLE.172214B51AB61796,single-segment,US.HWYSEG.172214B51AB61796,1,US.HWYSTITCH.172214B51AB61796,T3,t3-mountain-west,US2,,,,current-tier:T3;current-zone:t3-mountain-west;layer:selected-route;route-label:US2;route:US2;zone-route:t3-mountain-west:US2,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.174D6618A9C2A199,single-segment,US.HWYSEG.174D6618A9C2A199,1,US.HWYSTITCH.174D6618A9C2A199,T3,t3-mid-south,I630,,,,current-tier:T3;current-zone:t3-mid-south;layer:review-connector;route-label:I630;route:I630;zone-route:t3-mid-south:I630,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.174D6918A9C2A6B2,single-segment,US.HWYSEG.174D6918A9C2A6B2,1,US.HWYSTITCH.174D6918A9C2A6B2,T3,t3-mid-south,I635,,,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I635;route:I635;zone-route:t3-mid-south:I635,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.1757F418A9CBE768,single-segment,US.HWYSEG.1757F418A9CBE768,1,US.HWYSTITCH.1757F418A9CBE768,T3,t3-mid-south,I664,VA,VA,,current-tier:T3;current-zone:t3-mid-south;layer:selected-route;route-label:I664;route:I664;zone-route:t3-mid-south:I664,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-terminal-stop,complete terminal stop chain before service geometry,data/t3-zone-stop-placement.csv,review
US.HWYBUNDLE.1F08E9E197CD527B,single-segment,US.HWYSEG.1F08E9E197CD527B,1,US.HWYSTITCH.1F08E9E197CD527B,T3,t3-southeast,,,,,current-tier:T3;current-zone:t3-southeast;layer:zone-summary,data/t3-zone-map-diagnostics.csv,bundle-review,keep zone or backlog bundle visible but out of service geometry,data/national-segment-registry.csv,review
US.HWYBUNDLE.283B97A405AC8E4D,single-segment,US.HWYSEG.283B97A405AC8E4D,1,US.HWYSTITCH.283B97A405AC8E4D,T3,t3-mountain-west,I8,,,,current-tier:T3;current-zone:t3-mountain-west;layer:review-connector;route-label:I8;route:I8;zone-route:t3-mountain-west:I8,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.3225833A5A66B8FD,single-segment,US.HWYSEG.3225833A5A66B8FD,1,US.HWYSTITCH.3225833A5A66B8FD,T3,zone-assignment-needed,,,,,current-tier:T3;current-zone:zone-assignment-needed;layer:unassigned-gap-backlog,data/t3-t4-access-gaps.csv,bundle-review,keep zone or backlog bundle visible but out of service geometry,data/national-segment-registry.csv,review
US.HWYBUNDLE.3940FBF995BBBC72,single-segment,US.HWYSEG.3940FBF995BBBC72,1,US.HWYSTITCH.3940FBF995BBBC72,T3,t3-great-lakes,I220,,,,current-tier:T3;current-zone:t3-great-lakes;layer:selected-route;route-label:I220;route:I220;zone-route:t3-great-lakes:I220,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.394EF7F995C7F302,single-segment,US.HWYSEG.394EF7F995C7F302,1,US.HWYSTITCH.394EF7F995C7F302,T3,t3-great-lakes,I264,,,,current-tier:T3;current-zone:t3-great-lakes;layer:selected-route;route-label:I264;route:I264;zone-route:t3-great-lakes:I264,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.3951F4F995CA23C0,single-segment,US.HWYSEG.3951F4F995CA23C0,1,US.HWYSTITCH.3951F4F995CA23C0,T3,t3-great-lakes,I275,,,,current-tier:T3;current-zone:t3-great-lakes;layer:selected-route;route-label:I275;route:I275;zone-route:t3-great-lakes:I275,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.3951F9F995CA2C3F,single-segment,US.HWYSEG.3951F9F995CA2C3F,1,US.HWYSTITCH.3951F9F995CA2C3F,T3,t3-great-lakes,I270,,,,current-tier:T3;current-zone:t3-great-lakes;layer:selected-route;route-label:I270;route:I270;zone-route:t3-great-lakes:I270,data/t3-zone-render-board.csv;data/t3-zone-route-columns.csv;data/tier-stop-candidates.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.39557FF995CD45C8,single-segment,US.HWYSEG.39557FF995CD45C8,1,US.HWYSTITCH.39557FF995CD45C8,T3,t3-great-lakes,I280,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I280;route:I280;zone-route:t3-great-lakes:I280,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.39D499DFDB2B2408,stitched-service,US.HWYSEG.027E1A6A463545A3;US.HWYSEG.03FB9DB0D9EC76C3;US.HWYSEG.0460A216446DA02E;US.HWYSEG.068953697F4381E2;US.HWYSEG.0AA2D18AAA13FB65;US.HWYSEG.0E3AC58F52135867;US.HWYSEG.0E3DC88F52159357;US.HWYSEG.0F039A0A75A0AC39;US.HWYSEG.12053415BC2320BF;US.HWYSEG.137F882CA15BC93E;US.HWYSEG.1452122FFE69CE27;US.HWYSEG.145F839C6C42D4DF;US.HWYSEG.1509A2340AB10912;US.HWYSEG.16A60BDF5C09F896;US.HWYSEG.16D2EBAAA4821F3D;US.HWYSEG.18445F9A5AA776B8;US.HWYSEG.1A6138999BC17797;US.HWYSEG.1AF7C321DD707263;US.HWYSEG.1C19B9A8699A3B51;US.HWYSEG.1EA93C35A961D613;US.HWYSEG.1EA94835A961EA77;US.HWYSEG.213158D847A5DEA2;US.HWYSEG.25AC55E0F43C635B;US.HWYSEG.27962CA2CC4A5369;US.HWYSEG.29CC372490F1E9A7;US.HWYSEG.2D29AA06312BDF8C;US.HWYSEG.2ED12F80FD525C70;US.HWYSEG.350965174E4A71B4;US.HWYSEG.35E42BD525CBFF61;US.HWYSEG.3A82433916F70774;US.HWYSEG.3B7EDD9D1E7BF8BA;US.HWYSEG.3BF961546F81B6A5;US.HWYSEG.3F031B9EA7E67450;US.HWYSEG.3F6EB2C6B4F998F5;US.HWYSEG.41491F834808E64C;US.HWYSEG.4563C75A8D107103;US.HWYSEG.498B966980BA289E;US.HWYSEG.4CC5D739F9E43A08;US.HWYSEG.4F01F417B6F88DE2;US.HWYSEG.4F8F956CA1FCD59C;US.HWYSEG.50BCD38778503890;US.HWYSEG.515A804FD1B03866;US.HWYSEG.527344B44E34EC6E;US.HWYSEG.5462731B637D5199;US.HWYSEG.55C174B34BC798BB;US.HWYSEG.55FD48DE422E2925;US.HWYSEG.59BF4AE733D39740;US.HWYSEG.5A0F639212FFB657;US.HWYSEG.5C1143367B4B8F1E;US.HWYSEG.5F53CDC85789B9AB;US.HWYSEG.5FB48D17FAE9D5E2;US.HWYSEG.60FFA085ABF2921B;US.HWYSEG.6112D07605B99A58;US.HWYSEG.6168325DB52E7592;US.HWYSEG.647CC3ED1D88D1B8;US.HWYSEG.679D5FFCB0454819;US.HWYSEG.6812AB0F2C5C079B;US.HWYSEG.68F572900A592262;US.HWYSEG.6A175346099A7740;US.HWYSEG.6BB99E72C0D7AF50;US.HWYSEG.6E9D733E0DA8976A;US.HWYSEG.6FC093C8D8D9E3A6;US.HWYSEG.71CE68D5CA6A77C5;US.HWYSEG.734786B898564094;US.HWYSEG.758F29A351CF787D;US.HWYSEG.75A92A643DD0E8C9;US.HWYSEG.7DD0F012ABC8EF02;US.HWYSEG.7EFA0B84EEED44A3;US.HWYSEG.815706E16A8CA6C3;US.HWYSEG.81842176074334BD;US.HWYSEG.82E20AF4B0CD8C17;US.HWYSEG.86B071A1863E171F;US.HWYSEG.8EAE51B5B4B86262;US.HWYSEG.90C351CDAFE21B1E;US.HWYSEG.92A788D1AA395738;US.HWYSEG.92A78ED1AA39616A;US.HWYSEG.96CCBD7518628643;US.HWYSEG.98F14CDCE0FEFABB;US.HWYSEG.99ECA44683263ADC;US.HWYSEG.9BFC8AE9C6629E98;US.HWYSEG.9E25E5F20B8C143F;US.HWYSEG.A15E5F265CB3DD61;US.HWYSEG.A2BB6677496AB0D4;US.HWYSEG.A2DF10B2C385896A;US.HWYSEG.A42DF6EE742A10D2;US.HWYSEG.A43FF2A23DC3AF33;US.HWYSEG.A5BAB6358CAA3752;US.HWYSEG.A5D5B9358CC10423;US.HWYSEG.A64933E0F109BBBB;US.HWYSEG.A76A97C3585359D8;US.HWYSEG.A8AF7AEEDB211821;US.HWYSEG.A8E2EFD1F9232452;US.HWYSEG.AA8E0C48C13493D7;US.HWYSEG.AE245C8F6C4CB410;US.HWYSEG.AF7227358374B9F6;US.HWYSEG.B08BE82A059656EE;US.HWYSEG.B1916CF60EA7A7F8;US.HWYSEG.B56618E2D9290EC5;US.HWYSEG.B6C01D47D9BB8DFB;US.HWYSEG.B713B2027CBDF90D;US.HWYSEG.C070F82C75DF1370;US.HWYSEG.C07A652387F2437B;US.HWYSEG.C13141506E2930AB;US.HWYSEG.C694E3F5D46239C5;US.HWYSEG.C6DE5DFD45B3D20B;US.HWYSEG.C71784105186133B;US.HWYSEG.C8BC777321E4B2BF;US.HWYSEG.C998A5D61C0A28EC;US.HWYSEG.D6F3E50D82B0B0CE;US.HWYSEG.DAABEADE9AA48447;US.HWYSEG.DB1D0122C0368B56;US.HWYSEG.DC2F1E45093FE354;US.HWYSEG.E06219A6DB29A037;US.HWYSEG.E273F871A0206D40;US.HWYSEG.E93F7865BD58D007;US.HWYSEG.ED332ADBF4DD4F37;US.HWYSEG.F171C820034816FC;US.HWYSEG.F7BDFEC0E6D92967;US.HWYSEG.F8F001133D0476A4;US.HWYSEG.F94C2171CB41308B;US.HWYSEG.FB122B80C0D75036;US.HWYSEG.FBAC78B58896CAF2;US.HWYSEG.FC27F27EE4F5626A;US.HWYSEG.FC93A961DD04F902,124,US.HWYSTITCH.030AA7600771046B,T1,national,I5,CA;NV;OR;WA,CA;NV;OR;WA,CA;NV;OR;WA,current-tier:T1;current-zone:national;layer:segment-candidate;route-label:I5;route:I5,data/tier-pavement-docket.csv;data/tier-segment-candidates.csv,bundle-ready,use bundle as service join surface,maps/t3-zone,pass
US.HWYBUNDLE.52AEF0F9A3FAE079,single-segment,US.HWYSEG.52AEF0F9A3FAE079,1,US.HWYSTITCH.52AEF0F9A3FAE079,T3,t3-great-lakes,I180,,,,current-tier:T3;current-zone:t3-great-lakes;layer:held-gap;layer:review-connector;route-label:I180;route:I180;zone-route:t3-great-lakes:I180,data/t3-zone-route-columns.csv;t3-zone-route-columns;t4-terminal-access-columns,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
US.HWYBUNDLE.5BDD18F9A953B5DC,single-segment,US.HWYSEG.5BDD18F9A953B5DC,1,US.HWYSTITCH.5BDD18F9A953B5DC,T3,t3-great-lakes,I675,,,,current-tier:T3;current-zone:t3-great-lakes;layer:review-connector;route-label:I675;route:I675;zone-route:t3-great-lakes:I675,data/t3-zone-route-columns.csv,needs-stop-chain,author zone-bounded stops before bundle geometry,data/tier-stop-candidates.csv,review
