state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
kentucky,KY-SAMPLE-I65,I-65,Louisville,Tennessee gateway,KYTC,interstate,T1,R,North-south trunk and Ohio Valley-to-South logistics promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure bridge constraints and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kentucky,KY-SAMPLE-I64,I-64,Louisville,Lexington,KYTC,interstate,T1,R,Louisville-to-Bluegrass trunk and regional freight/person reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate bottleneck exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kentucky,KY-SAMPLE-PKWY,Western Kentucky Parkway,Elizabethtown,Paducah gateway,KYTC,state-parkway,T2,R,Western Kentucky connector and interstate redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity and fallback role to I-24/I-64,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kentucky,KY-SAMPLE-US23,US 23,Appalachian Kentucky,Ohio gateway,KYTC,US-highway,T3,R,Appalachian rural access and coalfield/service-node continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural isolation bridge/flood exposure and emergency access role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kentucky,KY-SAMPLE-SDF,UPS/airport access,Louisville airport logistics,Louisville tier node,airport-or-local,terminal-access,T4,,Air cargo terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
kentucky,KY-SAMPLE-MAINT,example maintained county-interface route,local-a,local-b,KYTC,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-I90,I-90,Boston,New York gateway,MassDOT,interstate-turnpike,T1,R,Mass Pike trunk and New England gateway promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure winter recovery and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-I93,I-93,Boston,New Hampshire gateway,MassDOT,interstate,T1,R,Boston-north/south trunk and metro reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate tunnel/interchange exposure and state-route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-ROUTE2,Route 2,Boston edge,Berkshire gateway,MassDOT,state-highway,T2,R,Northern Massachusetts connector and Mass Pike redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity winter exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-ROUTE6,Route 6,Cape Cod,mainland tier node,MassDOT,state-highway,T3,R,Cape access and coastal evacuation/isolation candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate bridge exposure seasonal demand and recovery expectations,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-PORT-BOS,Port of Boston access,Port of Boston,Boston tier node,port-or-local,terminal-access,T4,,Boston terminal and tunnel/local access candidate,SSF-005|SSF-007,source-needed,Validate terminal access friction tunnel constraints and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
massachusetts,MA-SAMPLE-X,example restricted parkway/local route,local-a,local-b,state-or-local,restricted-local-road,X,,Outside current freight/service tier package in sample,SSF-008,source-needed,Preserve exclusion reason and avoid promoting restricted geometry,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
