state,tier,source_family,route_count,affected_routes,bundle_count,affected_bundles,blocked_member_count,source_priority,acquisition_action,required_fields,next_artifact,optimizer_effect,validation_status
LA,T2,HPMS IRI plus state pavement condition feed,3,I110;I220;US80,3,US.HWYBUNDLE.5FA9BA2B1304E6EB;US.HWYBUNDLE.621B7445F38FA059;US.HWYBUNDLE.D6C11122CB1414ED,27,A,refresh HPMS/state pavement feed for broad multi-route coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
MA,T2,HPMS IRI plus state pavement condition feed,1,US6,1,US.HWYBUNDLE.E4A62B3E8ADBEFBD,12,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
MN,T2,HPMS IRI plus state pavement condition feed,1,US2,1,US.HWYBUNDLE.E4A6273E8ADBE8F1,3,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
MT,T2,HPMS IRI plus state pavement condition feed,1,US287,1,US.HWYBUNDLE.9B011ADD0E34D674,18,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
NC,T2,HPMS IRI plus state pavement condition feed,1,US70,1,US.HWYBUNDLE.62480245F3B5CC8E,14,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
ND,T2,HPMS IRI plus state pavement condition feed,1,US83,1,US.HWYBUNDLE.621B7145F38F9B40,6,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
NE,T2,HPMS IRI plus state pavement condition feed,2,US30;US6,2,US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.E4A62B3E8ADBEFBD,27,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
NJ,T2,HPMS IRI plus state pavement condition feed,1,US6,1,US.HWYBUNDLE.E4A62B3E8ADBEFBD,12,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
NM,T2,HPMS IRI plus state pavement condition feed,3,I110;US70;US80,3,US.HWYBUNDLE.621B7445F38FA059;US.HWYBUNDLE.62480245F3B5CC8E;US.HWYBUNDLE.D6BA4122CB0E47CF,23,A,refresh HPMS/state pavement feed for broad multi-route coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
OH,T2,HPMS IRI plus state pavement condition feed,2,US30;US6,2,US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.E4A62B3E8ADBEFBD,27,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
OR,T2,HPMS IRI plus state pavement condition feed,1,US30,1,US.HWYBUNDLE.623A0A45F3A99CCA,15,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
PA,T2,HPMS IRI plus state pavement condition feed,2,US30;US6,2,US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.E4A62B3E8ADBEFBD,27,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
SD,T2,HPMS IRI plus state pavement condition feed,1,US83,1,US.HWYBUNDLE.621B7145F38F9B40,6,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
TX,T2,HPMS IRI plus state pavement condition feed,5,I220;US287;US70;US80;US83,5,US.HWYBUNDLE.5F57C12B12BEE8A8;US.HWYBUNDLE.621B7145F38F9B40;US.HWYBUNDLE.621B7445F38FA059;US.HWYBUNDLE.62480245F3B5CC8E;US.HWYBUNDLE.9B011ADD0E34D674,49,A,refresh HPMS/state pavement feed for broad multi-route coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
UT,T2,HPMS IRI plus state pavement condition feed,1,US6,1,US.HWYBUNDLE.E4A62B3E8ADBEFBD,12,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
WA,T2,HPMS IRI plus state pavement condition feed,1,US2,1,US.HWYBUNDLE.E4A6273E8ADBE8F1,3,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
WI,T2,HPMS IRI plus state pavement condition feed,1,US2,1,US.HWYBUNDLE.E4A6273E8ADBE8F1,3,C,fill targeted pavement rows from HPMS or state DOT asset feed,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
WY,T2,HPMS IRI plus state pavement condition feed,2,US287;US30,2,US.HWYBUNDLE.623A0A45F3A99CCA;US.HWYBUNDLE.9B011ADD0E34D674,33,B,refresh HPMS/state pavement feed for targeted corridor coverage,route id; segment geometry or linear reference; IRI or condition score; observation year; source owner,data/tier-pavement-docket.csv,populate member pavement evidence so held T2 bundles can pass or become repair rows,review
