state,source_segment_id,route_label,from_ref,to_ref,owner_or_jurisdiction,road_class,candidate_role,overlay_roles,service_reason,failure_metric_refs,evidence_posture,next_review_step,held_claims
new-mexico,NM-SAMPLE-BORDER-SANTA-TERESA,Santa Teresa border access,Santa Teresa gateway,Las Cruces tier node,border-or-local,terminal-access,T4,,Border terminal and industrial access candidate,SSF-005|SSF-007,source-needed,Validate border queue access constraints and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
new-mexico,NM-SAMPLE-MAINT,example maintained desert route,rural-a,rural-b,NMDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-I84,I-84,Boise,Utah gateway,ITD,interstate,T1,R,Southern Idaho trunk and intermountain freight promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident winter exposure and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-I90,I-90,Washington gateway,Montana gateway,ITD,interstate,T1,R,Northern Idaho trunk and panhandle freight promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate mountain pass closure recovery and freight continuity,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-US95,US 95,Boise,Canadian gateway,ITD,US-highway,T2,R,Statewide north-south connector and interstate redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity winter exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-ID55,ID 55,Boise,McCall gateway,ITD,state-highway,T3,R,Mountain recreation and rural access continuity candidate,SSF-004|SSF-006|SSF-007,heuristic-held,Validate rural isolation seasonal demand and recovery records,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-AG-TERMINAL,Magic Valley terminal access,Magic Valley freight district,Twin Falls tier node,terminal-or-local,terminal-access,T4,,Agricultural terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal inventory truck routing and recovery evidence,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
idaho,ID-SAMPLE-MAINT,example maintained mountain route,rural-a,rural-b,ITD,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-I95,I-95,Kittery,Houlton,MaineDOT,interstate,T1,R,Statewide north-south trunk and Canadian gateway promise,SSF-001|SSF-002|SSF-007,heuristic-held,Validate winter closure recovery rural access and alternate-route penalty,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-I295,I-295,Portland,Augusta,MaineDOT,interstate,T1,R,Coastal-to-capital trunk and service reliability promise,SSF-001|SSF-002|SSF-003,heuristic-held,Validate incident exposure and coastal/state route redundancy,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-US1,US 1,Kittery,Calais gateway,MaineDOT,US-highway,T2,R,Coastal connector and I-95 redundancy candidate,SSF-002|SSF-003|SSF-004,heuristic-held,Validate service-class continuity coastal bridge exposure and fallback role,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-ME11,ME 11,Aroostook County,central Maine,MaineDOT,state-highway,T3,R,Northern rural access and forest/agricultural continuity candidate,SSF-004|SSF-006,heuristic-held,Validate rural service nodes winter isolation and emergency access,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-PORT-PWM,Portland port access,Portland terminals,Portland tier node,port-or-local,terminal-access,T4,,Portland terminal and local freight access candidate,SSF-005|SSF-007,source-needed,Validate terminal access constraints winter recovery and truck routing,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
maine,ME-SAMPLE-MAINT,example maintained forest route,rural-a,rural-b,MaineDOT,state-highway,M,,Maintained route with no promoted service role in sample,SSF-008,source-needed,Keep in inventory and document non-promotion reason,official_designation|legal_sla|construction|cost|roi|eligibility|endorsement|validation|public_readiness
