tier,route,score,rubric_version,estimated,confidence,score_confidence,confidence_label,score_confidence_label
T3,I-91,34.3,v1.4,true,0.58,0.82,Low,Medium
T3,I-516,34.2,v1.4,true,0.65,0.81,Medium,Medium
T3,I-564,34.2,v1.4,true,0.68,0.73,Medium,Medium
T3,US25,34.0,v1.4,true,0.66,0.81,Medium,Medium
T3,I-535,33.7,v1.4,true,0.54,0.80,Low,Medium
T3,I-278,33.6,v1.4,true,0.58,0.83,Low,Medium
T3,I-605,33.5,v1.4,true,0.58,0.82,Low,Medium
T3,US29,33.4,v1.4,true,0.51,0.83,Low,Medium
T3,I-476,33.3,v1.4,true,0.53,0.82,Low,Medium
T3,I-640,33.3,v1.4,true,0.65,0.75,Medium,Medium
T3,US23,33.3,v1.4,true,0.51,0.83,Low,Medium
T3,I-555,33.1,v1.4,true,0.72,0.78,Medium,Medium
T3,I-710,33.0,v1.4,true,0.58,0.81,Low,Medium
T3,US202,33.0,v1.4,true,0.51,0.82,Low,Medium
T3,I-435,32.8,v1.4,true,0.72,0.80,Medium,Medium
T3,US65,32.6,v1.4,true,0.51,0.83,Low,Medium
T3,US81,32.6,v1.4,true,0.51,0.84,Low,Medium
T3,I-380,32.5,v1.4,true,0.53,0.82,Low,Medium
T3,US322,32.5,v1.4,true,0.51,0.82,Low,Medium
T3,US27,32.4,v1.4,true,0.51,0.84,Low,Medium
T3,I-14,32.3,v1.4,true,0.72,0.76,Medium,Medium
T3,I-12,32.1,v1.4,true,0.58,0.81,Low,Medium
T3,I-695,32.0,v1.4,true,0.58,0.82,Low,Medium
T3,I-490,31.9,v1.4,true,0.53,0.82,Low,Medium
T3,US220,31.8,v1.4,true,0.51,0.82,Low,Medium
T3,I-68,31.6,v1.4,true,0.60,0.81,Low,Medium
T3,I-99,31.6,v1.4,true,0.54,0.81,Low,Medium
T3,US101,31.6,v1.4,true,0.51,0.82,Low,Medium
T3,I-194,31.2,v1.4,true,0.54,0.80,Low,Medium
T3,I-244,31.2,v1.4,true,0.70,0.77,Medium,Medium
T3,I-376,31.1,v1.4,true,0.53,0.82,Low,Medium
T3,I-895,31.0,v1.4,true,0.60,0.82,Low,Medium
T3,I-678,30.9,v1.4,true,0.53,0.82,Low,Medium
T3,I-83,30.9,v1.4,true,0.58,0.82,Low,Medium
T3,I-27,30.8,v1.4,true,0.72,0.80,Medium,Medium
T3,I-530,30.7,v1.4,true,0.72,0.78,Medium,Medium
T3,I-359,30.6,v1.4,true,0.72,0.77,Medium,Medium
T3,I-520,30.5,v1.4,true,0.70,0.78,Medium,Medium
T3,I-39,30.3,v1.4,true,0.60,0.83,Low,Medium
T3,US20,30.3,v1.4,true,0.51,0.81,Low,Medium
T3,US54,30.3,v1.4,true,0.51,0.80,Low,Medium
T3,I-580,30.0,v1.4,true,0.72,0.82,Medium,Medium
T4,US90Z,29.9,v1.4,true,0.53,0.73,Low,Medium
T4,I-135,29.8,v1.4,true,0.72,0.80,Medium,Medium
T4,US74,29.8,v1.4,true,0.51,0.83,Low,Medium
T4,I-180,29.7,v1.4,true,0.72,0.81,Medium,Medium
T4,US22,29.7,v1.4,true,0.51,0.83,Low,Medium
T4,US10,29.4,v1.4,true,0.51,0.82,Low,Medium
T4,I-72,29.3,v1.4,true,0.60,0.81,Low,Medium
T4,US301,29.3,v1.4,true,0.51,0.82,Low,Medium
T4,US15,29.2,v1.4,true,0.51,0.82,Low,Medium
T4,I-510,29.1,v1.4,true,0.58,0.81,Low,Medium
T4,I-93,29.1,v1.4,true,0.60,0.85,Low,Medium
T4,US95,29.0,v1.4,true,0.51,0.80,Low,Medium
T4,I-691,28.9,v1.4,true,0.58,0.83,Low,Medium
T4,US167,28.9,v1.4,true,0.51,0.81,Low,Medium
T4,US421,28.8,v1.4,true,0.51,0.81,Low,Medium
T4,I-140,28.7,v1.4,true,0.65,0.80,Medium,Medium
T4,I-471,28.7,v1.4,true,0.58,0.80,Low,Medium
T4,I-175,28.5,v1.4,true,0.58,0.80,Low,Medium
T4,I-840,28.5,v1.4,true,0.72,0.78,Medium,Medium
T4,US24,28.5,v1.4,true,0.51,0.81,Low,Medium
T4,I-478,28.4,v1.4,true,0.53,0.82,Low,Medium
T4,I-705,28.4,v1.4,true,0.53,0.80,Low,Medium
T4,US84,28.4,v1.4,true,0.51,0.82,Low,Medium
T4,US96,28.4,v1.4,true,0.54,0.75,Low,Medium
T4,I-276,28.3,v1.4,true,0.53,0.82,Low,Medium
T4,I-880,28.3,v1.4,true,0.58,0.82,Low,Medium
T4,US250,28.3,v1.4,true,0.51,0.81,Low,Medium
T4,I-235,28.2,v1.4,true,0.72,0.80,Medium,Medium
T4,US26,28.2,v1.4,true,0.63,0.80,Medium,Medium
T4,US270,28.2,v1.4,true,0.51,0.83,Low,Medium
T4,I-129,28.0,v1.4,true,0.72,0.80,Medium,Medium
T4,US87,28.0,v1.4,true,0.51,0.83,Low,Medium
T4,I-176,27.9,v1.4,true,0.53,0.81,Low,Medium
T4,I-190,27.9,v1.4,true,0.60,0.81,Low,Medium
T4,I-335,27.9,v1.4,true,0.70,0.81,Medium,Medium
T4,US76,27.8,v1.4,true,0.51,0.82,Low,Medium
T4,US31,27.6,v1.4,true,0.51,0.82,Low,Medium
T4,I-795,27.5,v1.4,true,0.58,0.81,Low,Medium
T4,US14,27.4,v1.4,true,0.51,0.82,Low,Medium
T4,I-696,27.3,v1.4,true,0.58,0.81,Low,Medium
T4,US66,27.0,v1.4,true,0.51,0.80,Low,Medium
T4,I-465,26.9,v1.4,true,0.60,0.83,Low,Medium
T4,I-115,26.8,v1.4,true,0.66,0.78,Medium,Medium
T4,US82,26.8,v1.4,true,0.51,0.79,Low,Medium
T4,I-196,26.6,v1.4,true,0.60,0.82,Low,Medium
T4,I-69E,26.6,v1.4,true,0.51,0.80,Low,Medium
T4,US45W,26.6,v1.4,true,0.51,0.82,Low,Medium
T4,I-990,26.5,v1.4,true,0.53,0.80,Low,Medium
T4,US41,26.5,v1.4,true,0.51,0.82,Low,Medium
T4,I-294,26.4,v1.4,true,0.58,0.84,Low,Medium
T4,US224,26.4,v1.4,true,0.51,0.84,Low,Medium
T4,US119,26.3,v1.4,true,0.51,0.82,Low,Medium
T4,US278,26.2,v1.4,true,0.51,0.82,Low,Medium
T4,I-255,26.0,v1.4,true,0.60,0.84,Low,Medium
T4,I-271,26.0,v1.4,true,0.58,0.82,Low,Medium
T4,I-185,25.9,v1.4,true,0.72,0.79,Medium,Medium
T4,I-277,25.8,v1.4,true,0.53,0.81,Low,Medium
T4,I-390,25.8,v1.4,true,0.58,0.81,Low,Medium
T4,I-759,25.8,v1.4,true,0.65,0.80,Medium,Medium
T4,US281,25.8,v1.4,true,0.51,0.81,Low,Medium
T4,US35,25.8,v1.4,true,0.51,0.83,Low,Medium
T4,US42,25.8,v1.4,true,0.51,0.85,Low,Medium
T4,US7,25.7,v1.4,true,0.49,0.82,Low,Medium
T4,US45E,25.5,v1.4,true,0.49,0.77,Low,Medium
T4,I-279,25.4,v1.4,true,0.54,0.81,Low,Medium
T4,I-169,25.2,v1.4,true,0.65,0.80,Medium,Medium
T4,I-496,25.1,v1.4,true,0.58,0.81,Low,Medium
T4,I-181,25.0,v1.4,true,0.51,0.82,Low,Medium
T4,US223,25.0,v1.4,true,0.49,0.83,Low,Medium
T4,I-526,24.9,v1.4,true,0.53,0.81,Low,Medium
T4,I-895B,24.9,v1.4,true,0.53,0.81,Low,Medium
T4,US385,24.8,v1.4,true,0.49,0.73,Low,Medium
T4,US190,24.7,v1.4,true,0.51,0.82,Low,Medium
T4,US33,24.7,v1.4,true,0.51,0.82,Low,Medium
T4,I-69C,24.2,v1.4,true,0.50,0.80,Low,Medium
T4,US79,24.2,v1.4,true,0.63,0.82,Medium,Medium
T4,I-474,24.1,v1.4,true,0.54,0.81,Low,Medium
T4,I-579,24.1,v1.4,true,0.53,0.80,Low,Medium
T4,US16,24.1,v1.4,true,0.51,0.80,Low,Medium
T4,I-805,23.7,v1.4,true,0.58,0.80,Low,Medium
T4,US150,23.7,v1.4,true,0.51,0.81,Low,Medium
T4,I-89,23.5,v1.4,true,0.60,0.82,Low,Medium
T4,I-182,23.3,v1.4,true,0.60,0.82,Low,Medium
T4,I-384,23.3,v1.4,true,0.58,0.81,Low,Medium
T4,US191,23.2,v1.4,true,0.51,0.82,Low,Medium
T4,US422,23.2,v1.4,true,0.49,0.83,Low,Medium
T4,I-291,23.1,v1.4,true,0.58,0.81,Low,Medium
T4,I-469,23.1,v1.4,true,0.58,0.77,Low,Medium
T4,US395,23.1,v1.4,true,0.63,0.81,Medium,Medium
T4,I-265,22.9,v1.4,true,0.60,0.81,Low,Medium
T4,US285,22.9,v1.4,true,0.51,0.82,Low,Medium
T4,I-41,22.8,v1.4,true,0.60,0.83,Low,Medium
T4,US130,22.6,v1.4,true,0.49,0.83,Low,Medium
T4,I-97,22.4,v1.4,true,0.58,0.81,Low,Medium
T4,I-370,22.1,v1.4,true,0.53,0.81,Low,Medium
T4,I-890,22.1,v1.4,true,0.53,0.81,Low,Medium
T4,I-315,22.0,v1.4,true,0.61,0.80,Medium,Medium
T4,US181,22.0,v1.4,true,0.51,0.81,Low,Medium
T4,US277,22.0,v1.4,true,0.51,0.81,Low,Medium
T4,I-505,21.9,v1.4,true,0.53,0.82,Low,Medium
T4,I-355,21.8,v1.4,true,0.58,0.83,Low,Medium
T4,I-43,21.8,v1.4,true,0.60,0.82,Low,Medium
T4,I-381,21.5,v1.4,true,0.65,0.77,Medium,Medium
T4,I-895A,21.5,v1.4,true,0.53,0.81,Low,Medium
T4,US219,21.5,v1.4,true,0.49,0.80,Low,Medium
T4,US169,21.4,v1.4,true,0.51,0.82,Low,Medium
T4,US271,21.4,v1.4,true,0.51,0.82,Low,Medium
T4,US18,21.3,v1.4,true,0.51,0.82,Low,Medium
T4,I-590,21.1,v1.4,true,0.58,0.80,Low,Medium
T4,I-694,21.1,v1.4,true,0.58,0.85,Low,Medium
T4,US131,21.1,v1.4,true,0.51,0.85,Low,Medium
T4,US206,21.1,v1.4,true,0.49,0.83,Low,Medium
T4,I-885,21.0,v1.4,true,0.53,0.81,Low,Medium
T4,I-481,20.9,v1.4,true,0.53,0.82,Low,Medium
T4,I-385,20.7,v1.4,true,0.60,0.80,Low,Medium
T4,I-494,20.7,v1.4,true,0.58,0.85,Low,Medium
T4,US217,20.7,v1.4,true,0.49,0.73,Low,Medium
T4,US601,20.7,v1.4,true,0.51,0.86,Low,High
T4,I-283,20.6,v1.4,true,0.53,0.80,Low,Medium
T4,I-781,20.5,v1.4,true,0.53,0.79,Low,Medium
T4,I-184,20.3,v1.4,true,0.60,0.79,Low,Medium
T4,I-480N,20.3,v1.4,true,0.53,0.80,Low,Medium
T4,US21,20.3,v1.4,true,0.51,0.86,Low,High
T4,US212,20.2,v1.4,true,0.51,0.82,Low,Medium
T4,I-172,20.1,v1.4,true,0.54,0.79,Low,Medium
T4,I-865,20.1,v1.4,true,0.58,0.80,Low,Medium
T4,I-73,20.0,v1.4,true,0.60,0.81,Low,Medium
T4,I-690,19.6,v1.4,true,0.53,0.80,Low,Medium
T4,US34,19.6,v1.4,true,0.51,0.81,Low,Medium
T4,US222,19.4,v1.4,true,0.49,0.83,Low,Medium
T4,US231,19.4,v1.4,true,0.51,0.82,Low,Medium
T4,US264,19.0,v1.4,true,0.49,0.84,Low,Medium
T4,US311,19.0,v1.4,true,0.51,0.86,Low,High
T4,I-126,18.9,v1.4,true,0.53,0.79,Low,Medium
T4,US93,18.7,v1.4,true,0.51,0.81,Low,Medium
T4,I-391,18.6,v1.4,true,0.58,0.81,Low,Medium
T4,US53,18.6,v1.4,true,0.51,0.80,Low,Medium
T4,I-790,18.5,v1.4,true,0.60,0.79,Low,Medium
T4,US19W,18.5,v1.4,true,0.51,0.84,Low,Medium
T4,US378,18.3,v1.4,true,0.51,0.81,Low,Medium
T4,US25W,18.1,v1.4,true,0.51,0.84,Low,Medium
T4,US377,18.1,v1.4,true,0.51,0.82,Low,Medium
T4,US259,17.9,v1.4,true,0.49,0.79,Low,Medium
T4,I-293,17.8,v1.4,true,0.58,0.82,Low,Medium
T4,US209,17.7,v1.4,true,0.49,0.82,Low,Medium
T4,US91,17.7,v1.4,true,0.51,0.81,Low,Medium
T4,I-585,17.6,v1.4,true,0.54,0.80,Low,Medium
T4,US89,17.6,v1.4,true,0.51,0.83,Low,Medium
T4,I-780,17.5,v1.4,true,0.53,0.81,Low,Medium
T4,US258,17.5,v1.4,true,0.51,0.80,Low,Medium
T4,US321,17.4,v1.4,true,0.49,0.84,Low,Medium
T4,US97,17.4,v1.4,true,0.51,0.83,Low,Medium
T4,I-587,17.2,v1.4,true,0.51,0.79,Low,Medium
T4,US127,17.1,v1.4,true,0.51,0.83,Low,Medium
T4,US68,17.1,v1.4,true,0.49,0.83,Low,Medium
T4,I-229,16.9,v1.4,true,0.54,0.81,Low,Medium
T4,US4,16.9,v1.4,true,0.51,0.85,Low,Medium
T4,US44,16.6,v1.4,true,0.49,0.82,Low,Medium
T4,US45,16.6,v1.4,true,0.51,0.82,Low,Medium
T4,US72,16.6,v1.4,true,0.51,0.82,Low,Medium
T4,US158,16.4,v1.4,true,0.49,0.83,Low,Medium
T4,US501,16.4,v1.4,true,0.51,0.83,Low,Medium
T4,I-170,16.1,v1.4,true,0.58,0.80,Low,Medium
T4,I-787,16.1,v1.4,true,0.58,0.79,Low,Medium
T4,US5,16.1,v1.4,true,0.51,0.82,Low,Medium
T4,I-238,15.9,v1.4,true,0.53,0.81,Low,Medium
T4,I-35E,15.7,v1.4,true,0.58,0.83,Low,Medium
T4,I-785,15.7,v1.4,true,0.53,0.80,Low,Medium
T4,US218,15.7,v1.4,true,0.51,0.82,Low,Medium
T4,US522,15.7,v1.4,true,0.51,0.84,Low,Medium
T4,US141,15.2,v1.4,true,0.51,0.83,Low,Medium
T4,US431,15.2,v1.4,true,0.51,0.81,Low,Medium
T4,I-394,15.0,v1.4,true,0.60,0.83,Low,Medium
T4,I-11,14.9,v1.4,true,0.70,0.80,Medium,Medium
T4,I-189,14.7,v1.4,true,0.53,0.77,Low,Medium
T4,US183,14.7,v1.4,true,0.51,0.81,Low,Medium
T4,US340,14.7,v1.4,true,0.49,0.82,Low,Medium
T4,I-980,14.6,v1.4,true,0.53,0.82,Low,Medium
T4,US283,14.6,v1.4,true,0.51,0.80,Low,Medium
T4,I-485,14.5,v1.4,true,0.53,0.79,Low,Medium
T4,I-393,13.9,v1.4,true,0.54,0.80,Low,Medium
T4,US123,13.7,v1.4,true,0.49,0.80,Low,Medium
T4,US175,13.7,v1.4,true,0.49,0.85,Low,Medium
T4,US280,13.5,v1.4,true,0.51,0.80,Low,Medium
T4,US151,13.4,v1.4,true,0.51,0.83,Low,Medium
T4,US37,13.1,v1.4,true,0.49,0.81,Low,Medium
T4,US189,13.0,v1.4,true,0.51,0.85,Low,Medium
T4,I-794,12.9,v1.4,true,0.60,0.80,Low,Medium
T4,I-894,12.4,v1.4,true,0.53,0.79,Low,Medium
T4,US276,12.3,v1.4,true,0.51,0.81,Low,Medium
T4,US129,11.5,v1.4,true,0.49,0.82,Low,Medium
T4,I-35W,11.4,v1.4,true,0.60,0.80,Low,Medium
T4,US176,10.8,v1.4,true,0.51,0.82,Low,Medium
T4,I-1,10.3,v1.4,true,0.42,0.81,Low,Medium
T4,US441,10.3,v1.4,true,0.51,0.81,Low,Medium
T4,US401,10.1,v1.4,true,0.49,0.81,Low,Medium
T4,US3,9.9,v1.4,true,0.49,0.85,Low,Medium
T4,US31E,9.2,v1.4,true,0.51,0.82,Low,Medium
T4,US275,9.0,v1.4,true,0.51,0.83,Low,Medium
T4,US56,8.6,v1.4,true,0.51,0.83,Low,Medium
T4,US400,8.4,v1.4,true,0.51,0.81,Low,Medium
T4,I-3,8.2,v1.4,true,0.42,0.80,Low,Medium
T4,US8,6.8,v1.4,true,0.51,0.85,Low,High
T4,I-201,5.8,v1.4,true,0.39,0.77,Low,Medium
